Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.128034888505936,4.128164536952973,0.004425,0.0051
1,4.000191028118134,4.00167820096016,0.0517875,0.05085
2,3.794414831995964,3.8006833827495576,0.0517875,0.05085
3,3.7521151435375213,3.756133972406387,0.0801125,0.0817
4,3.6955727529525757,3.700849661827087,0.0493,0.04905
5,3.7529367989301683,3.7552797067165375,0.0553,0.05625
6,3.6962090104818346,3.701102067232132,0.056525,0.0574
7,3.777495946884155,3.779348111152649,0.0963375,0.09435
8,3.726126307249069,3.731785110235214,0.0517875,0.0509
9,3.8155778640508653,3.8168906700611114,0.0799375,0.07995
10,3.7854855847358704,3.792082990407944,0.0517875,0.05085
11,3.8570163905620576,3.8579170358181,0.0439875,0.04455
12,3.800902382135391,3.8060845518112183,0.0517875,0.05085
13,3.863652545213699,3.864632835388184,0.0549625,0.05605
14,3.8418697077035904,3.84879643201828,0.0546875,0.05575
15,3.8687313276529314,3.8699464094638825,0.0485375,0.0466
16,3.770045468211174,3.7774430108070374,0.05295,0.05085
17,3.8173927676677706,3.818146736621857,0.0547,0.05575
18,3.746854482889175,3.7518173670768737,0.0517875,0.05085
19,3.7863849031925203,3.7877558243274687,0.09865,0.1011
20,3.7354686141014097,3.740342321395874,0.10165,0.1004
21,3.7795153707265854,3.780614602565765,0.118025,0.1165
22,3.733279294967651,3.738916985988617,0.0956875,0.0954
23,3.766504108309746,3.7676707339286803,0.15785,0.15755
24,3.7192831629514695,3.7235013377666473,0.082875,0.08285
25,3.7399590039253234,3.7417217218875884,0.143975,0.14325
26,3.7086579006910325,3.7140361309051513,0.0533625,0.0511
27,3.7428735995292666,3.7446265268325805,0.1346875,0.13205
28,3.7013704806566237,3.706971974372864,0.05295,0.05085
29,3.7220851981639864,3.723672776222229,0.1440625,0.1454
30,3.6888156604766844,3.6936130332946777,0.1281625,0.12805
31,3.7272779399156573,3.72925364613533,0.2271,0.2257
32,3.677045425772667,3.6828104782104494,0.05295,0.05085
33,3.7187406569719315,3.7207280242443086,0.2139375,0.21075
34,3.6844651502370835,3.6906989860534667,0.0813125,0.07935
35,3.7124232828617094,3.714423600435257,0.170225,0.1687
36,3.669358298778534,3.6756833136081695,0.0620875,0.06065
37,3.6828282076120376,3.6850978457927703,0.2315125,0.22885
38,3.6440810453891754,3.6514200103282928,0.0567875,0.0547
39,3.661002048254013,3.663161245584488,0.222025,0.22075
40,3.623274696469307,3.6310568976402284,0.0769375,0.07495
41,3.6411428594589235,3.6437605202198027,0.229225,0.22635
42,3.591420810818672,3.59984521985054,0.0558875,0.0537
43,3.6059194195270536,3.6090902411937713,0.1986125,0.196
44,3.506510945558548,3.5150277507305145,0.1162625,0.11475
45,3.5273580437898637,3.531832993030548,0.3111375,0.31025
46,3.4487006908655164,3.4582442617416382,0.15685,0.15245
47,3.4576757270097733,3.463741660118103,0.298725,0.2971
48,3.3447796577215194,3.3541384494304656,0.22045,0.2187
49,3.3389096719026568,3.3463750565052033,0.3093625,0.3071
50,3.2431507498025893,3.254049894809723,0.19665,0.1964
51,3.2520564013719557,3.2605365896224976,0.3022,0.30115
52,3.2613023698329924,3.2722503530979155,0.150075,0.14945
53,3.248963944911957,3.259148703813553,0.2225875,0.2214
54,3.3119778025150297,3.3235451221466064,0.1233125,0.1207
55,3.2529396629333496,3.265673488378525,0.2439875,0.24345
56,3.309657814502716,3.3217916071414946,0.1204625,0.11845
57,2.9625099033117293,2.976731538772583,0.28965,0.28745
58,2.831914705038071,2.847935138940811,0.3377875,0.33215
59,2.752799714207649,2.7688535141944883,0.3566875,0.3537
60,2.690600996017456,2.707071305513382,0.3454625,0.34105
61,2.6123572421073913,2.629079381227493,0.3907875,0.3886
62,2.540116513967514,2.557634245157242,0.3830625,0.3766
63,2.5107096993923186,2.527409123182297,0.39065,0.39065
64,2.590953429937363,2.6074850487709047,0.3363875,0.3349
65,2.509409348964691,2.52603392124176,0.3770375,0.3735
66,2.4886164116859435,2.5067959249019625,0.35985,0.35805
67,2.4280377340316774,2.4446508193016054,0.392125,0.3858
68,2.3862257063388825,2.4047535389661787,0.3864625,0.3821
69,2.3988402491807936,2.4171000754833223,0.3817375,0.3766
70,2.351444036960602,2.369818221926689,0.3959625,0.3906
71,2.335713677406311,2.353763040304184,0.398225,0.39465
72,2.2966288536787034,2.3144642221927643,0.4224125,0.4195
73,2.2279370057582857,2.2451529401540755,0.4363125,0.43395
74,2.2145044222474097,2.2309682184457778,0.4503625,0.44535
75,2.159153449833393,2.177309091091156,0.45505,0.4517
76,2.146832331717014,2.162321254014969,0.4627375,0.4575
77,2.1107524383068084,2.1286597615480423,0.463425,0.4623
78,2.09011670589447,2.1046062976121904,0.4821875,0.4806
79,2.038896639049053,2.055249554514885,0.4851375,0.4834
80,2.0262212467193605,2.0404144883155824,0.5070125,0.5037
81,2.0448779931664465,2.0626178622245788,0.4745875,0.4721
