Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.12665930390358,4.126446321010589,0.0039125,0.0046
1,4.522763552665711,4.5160460293293,0.0439625,0.04235
2,4.390804449319839,4.373175753355026,0.0074125,0.00855
3,4.349460165500641,4.345102850198746,0.0514625,0.05005
4,4.855749143362045,4.843826147317887,0.0251,0.0233
5,5.587782162427902,5.601542842388153,0.0198625,0.01825
6,4.586970179080963,4.591022795438766,0.0266,0.02585
7,4.022616187930107,4.019591664075851,0.0473,0.0465
8,4.317715370059013,4.305836517810821,0.0415625,0.0455
9,3.9950808703899385,3.9900584912300108,0.040625,0.04125
10,4.0237664330005645,4.027059561014175,0.050425,0.0485
11,3.971588099002838,3.958907128572464,0.0505375,0.0538
12,3.942783464193344,3.937348368167877,0.04005,0.0396
13,4.071233950257302,4.066692628860474,0.0396875,0.0396
14,4.000369183421135,3.99465851187706,0.042625,0.0436
15,4.225376768708229,4.218583354949951,0.0513125,0.05285
16,4.071109293103218,4.064166659116745,0.0180875,0.0171
17,4.072165864109993,4.056396808624267,0.0448625,0.04545
18,4.126437935233116,4.126482969522476,0.050375,0.0488
19,3.9931772339344023,3.9982716023921965,0.0395875,0.0403
20,4.3273099249601366,4.323604830503464,0.0489625,0.04655
21,4.048378143906593,4.036491230726242,0.0442,0.04285
22,4.009894880056382,4.009534238576889,0.0506,0.04875
23,4.142675053477287,4.131831387281418,0.03855,0.0382
24,4.1948500591516495,4.193958554267883,0.0499,0.04805
25,3.9474518221616743,3.9418277060985565,0.0442875,0.04475
26,3.8904208302497865,3.887087049484253,0.0401375,0.0397
27,7.967877857685089,7.929901292324066,0.0440625,0.0405
28,4.022491500973701,4.017363806962967,0.0356,0.0359
29,4.299302037358284,4.303221534490586,0.0383375,0.03855
30,3.9492700552940367,3.9481639897823335,0.0266125,0.02785
31,4.0427540278434755,4.037321302890778,0.039675,0.0405
32,4.152606011629104,4.127012860774994,0.0455875,0.04475
33,3.948798971772194,3.9467252671718596,0.042625,0.0418
34,4.039304683804512,4.036786693334579,0.039725,0.04045
35,4.246899886727333,4.249745638370514,0.0343125,0.0318
36,4.028849087357521,4.033834038972855,0.042575,0.0418
37,3.9884716230630874,3.986930694580078,0.0394375,0.03975
38,3.9618762624263764,3.9599286234378814,0.0396875,0.0404
39,4.125786983966828,4.11834945678711,0.044625,0.0452
40,4.287179107666016,4.277210021018982,0.0507625,0.05265
41,3.912283650636673,3.9150769340991975,0.050525,0.0489
42,4.109666964411735,4.096176352500915,0.0393,0.03995
43,3.9376084345579145,3.935703957080841,0.0504125,0.04865
44,4.074648765325546,4.080064715147018,0.0396125,0.03895
45,3.9156545615196228,3.9164496910572053,0.0502625,0.04845
46,4.097093397974968,4.103737946748733,0.0505,0.04865
47,3.91702512383461,3.9197894728183744,0.0509625,0.04885
48,4.01120699942112,4.010021085739136,0.04965,0.05165
49,3.9583795207738874,3.954926290512085,0.051025,0.04995
50,3.9423092687129975,3.9463476336002348,0.037775,0.03975
51,3.939141283035278,3.935107235908508,0.0442625,0.0445
52,4.076739556193352,4.0773332619667055,0.0446875,0.04505
53,3.9659653055667876,3.9743874001502992,0.04135,0.04
54,3.914068902134895,3.905382115840912,0.05235,0.054
55,3.8905571800470353,3.8862236309051514,0.026775,0.02725
56,3.8865925163030624,3.885149813890457,0.0488125,0.0475
57,4.0659251725673675,4.069784809350967,0.050475,0.04855
58,4.32291133582592,4.328003978729248,0.0397125,0.0402
59,4.0187665635347365,4.00787255525589,0.051625,0.0537
60,3.929048519730568,3.921583840847015,0.0520125,0.05355
61,3.88680957198143,3.880320873260498,0.0428125,0.0417
62,4.027001730799675,4.029426792860031,0.0499625,0.05185
