Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.128034896850586,4.128164536952973,0.004425,0.0051
1,5.380921508073807,5.397448122501373,0.05295,0.05085
2,4.0983417391777035,4.098435609340668,0.0625375,0.0629
3,8.418344130516052,8.444829754829406,0.05295,0.05085
4,4.01161027431488,4.012274757623673,0.0769625,0.0756
5,8.53579035282135,8.549102251529694,0.0546875,0.05575
6,3.9444099223613738,3.94458123087883,0.0504,0.0503
7,4.4321361970901485,4.441897102594376,0.0942625,0.09445
8,3.7333942729234697,3.734732691049576,0.1054875,0.1104
9,3.829867860674858,3.8376630437374115,0.1227,0.12
10,3.616564065217972,3.6193982315063478,0.2337875,0.2352
11,3.4385254591703416,3.447478289604187,0.22325,0.22215
12,3.3622422963380814,3.3688251078128815,0.3458,0.3428
13,3.013997705578804,3.0284918785095214,0.33915,0.3374
14,2.9292668718099595,2.9392290115356445,0.3949375,0.3939
15,2.672288360595703,2.6871689426898957,0.3748,0.3719
16,2.6170143830776214,2.629188525676727,0.4196375,0.4204
17,2.4947876459360123,2.511081006526947,0.40495,0.4029
18,2.432321094274521,2.4465133357048034,0.446025,0.44415
19,2.4706588262319564,2.489551842212677,0.39095,0.3897
20,2.396374076008797,2.4113615947961806,0.43655,0.4316
21,2.767000536322594,2.782773874998093,0.3419875,0.342
22,2.536526119709015,2.5523863410949708,0.3742,0.37375
23,3.624886156320572,3.641806536912918,0.234775,0.23415
24,2.782947536110878,2.7981660890579225,0.2961375,0.2934
25,3.1196079456806185,3.1305952203273772,0.2489125,0.2504
26,2.5558663111925126,2.5806997871398925,0.3853625,0.37875
27,2.5921783351898195,2.6139954501390457,0.3677875,0.3628
28,2.182190822660923,2.202423990368843,0.4702875,0.4658
29,2.231689449548721,2.2531062453985213,0.46155,0.4573
30,2.1650008806586265,2.182495266199112,0.4747875,0.47135
31,2.2194614788889884,2.240348883867264,0.4685875,0.4637
32,2.082485807836056,2.103357271552086,0.487975,0.48305
33,2.1305013841390608,2.148159099817276,0.4883625,0.4845
34,2.184155771434307,2.2093922472000123,0.4886625,0.48455
35,2.261610749065876,2.2804138433933256,0.4618625,0.4589
36,2.3517774918675425,2.383914103507996,0.4341625,0.4285
37,2.302842322587967,2.321423878669739,0.4476625,0.4453
38,2.1566224357485773,2.179619309306145,0.481,0.47875
39,2.1279437974095345,2.147275149226189,0.490775,0.4886
40,2.0809517067670824,2.1006633108854293,0.5062875,0.5034
41,2.2045382019877433,2.2185020595788956,0.4813625,0.47785
42,2.0017557364702223,2.020912076830864,0.502525,0.49645
43,2.1860370725393294,2.2046936732530593,0.482575,0.48165
44,1.945991772711277,1.9664905589818955,0.5295875,0.5255
45,1.9587924164533614,1.9787264889478684,0.524625,0.52015
46,1.8238078716397286,1.8445464354753494,0.55075,0.5447
47,1.829499752819538,1.8479356002807616,0.5527875,0.5503
48,1.850134780406952,1.8716027837991716,0.54995,0.54775
49,1.9091391277313232,1.9353105276823044,0.5434375,0.54245
50,1.9391413792967795,1.9633524823188782,0.5191125,0.5148
51,1.9123933416604997,1.937149640917778,0.5451625,0.5445
52,1.9728446373343467,1.9985036832094192,0.5108375,0.504
53,2.047989564538002,2.070532187819481,0.507775,0.5067
54,1.8996988648176194,1.928782861828804,0.5282,0.52365
55,1.9794858890771865,2.005949104428291,0.5178625,0.5146
56,1.9230350449681282,1.9499535018205643,0.5282125,0.5241
57,1.8380964732170104,1.8610131275653838,0.5462625,0.54505
58,1.7751823064684868,1.8020830821990967,0.56805,0.5655
59,1.7798699441552162,1.803454234600067,0.5776375,0.5749
60,1.697545906305313,1.7201314091682434,0.5808125,0.57855
61,1.7492800137400628,1.7775989246368409,0.5843875,0.581
62,1.721818000972271,1.7466727775335311,0.57805,0.5767
63,1.7868247944116593,1.8182848083972931,0.5786125,0.57465
64,1.7854919514060021,1.8118159556388855,0.5703625,0.5676
65,1.8499755680561065,1.878954752087593,0.565,0.56275
66,1.8448244562745095,1.8695386224985122,0.5566625,0.55465
67,1.9458771899342537,1.9771018433570862,0.5511,0.54575
68,1.8795848202705383,1.9064412677288056,0.5398625,0.5365
