Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.128034896850586,4.128164536952973,0.004425,0.0051
1,3.891592448949814,3.8921146273612974,0.0506375,0.0495
2,3.7824439352750776,3.784187926054001,0.0546875,0.05575
3,3.755882943868637,3.7580649149417877,0.0550875,0.0561
4,3.68818778693676,3.691141964197159,0.083175,0.0804
5,3.6470214778184893,3.648128191232681,0.1604125,0.16175
6,3.553735664486885,3.5552012658119203,0.2325125,0.2297
7,3.433107706308365,3.4368088364601137,0.3052875,0.3037
8,3.2990077036619185,3.304256147146225,0.3152625,0.3132
9,3.1394367921352386,3.1476990187168123,0.33995,0.3388
10,2.952893810868263,2.9607179594039916,0.370175,0.37155
11,2.789367633461952,2.7985147082805635,0.4005625,0.3987
12,2.670217429995537,2.6825734984874727,0.41975,0.4181
13,2.5358868610858916,2.5501752066612244,0.430175,0.43035
14,2.445345398783684,2.46023175239563,0.4546875,0.45355
15,2.3682057547569273,2.383504562973976,0.461325,0.45855
16,2.3248621734976767,2.338986610174179,0.462225,0.45945
17,2.2501055559515954,2.2672827994823455,0.477425,0.474
18,2.2134229373931884,2.2320827043056486,0.48095,0.4797
19,2.1747700014710425,2.1946712493896485,0.489425,0.48695
20,2.144975512623787,2.1638451474905014,0.4965625,0.4928
21,2.1156882789731024,2.1319258391857145,0.5014625,0.4979
22,2.1031114864349365,2.1164144176244735,0.5087875,0.50715
23,2.0580655190348627,2.0714349061250688,0.5181375,0.5162
24,2.0367098596692084,2.0514174735546113,0.5235125,0.5215
25,2.016397349536419,2.031946374773979,0.5257375,0.52315
26,1.981211426258087,1.9957280457019806,0.5306375,0.5301
27,1.984037606716156,2.004909823536873,0.528075,0.52795
28,1.9678779450058936,1.9870280641317368,0.5315375,0.5305
29,1.9376518538594245,1.958175671696663,0.5404375,0.5403
30,1.9405880019068718,1.9597390580177307,0.5403375,0.5397
31,1.9403275045752526,1.9583512604236604,0.5418875,0.541
32,1.922276097536087,1.9418659454584122,0.544825,0.5432
33,1.8864441606402398,1.9041957503557205,0.554275,0.55385
34,1.8888073661923408,1.9073348927497864,0.55775,0.5561
35,1.8722271278500557,1.89031753718853,0.5604125,0.5594
36,1.8569972082972526,1.8763616508245469,0.5618625,0.5594
37,1.8522900819778443,1.873661035299301,0.5662625,0.564
38,1.8143499243259429,1.8357728523015977,0.572525,0.57105
39,1.8000003099441528,1.8242070907354355,0.57655,0.5748
40,1.8387222197651862,1.8654214638471602,0.5695125,0.5683
41,1.8180157786607742,1.8394160336256027,0.573625,0.5724
42,1.795318376123905,1.8148904246091844,0.5761125,0.5752
43,1.7850666531920434,1.803316552042961,0.5746125,0.57455
44,1.7670005616545676,1.7886148411035538,0.5774,0.57535
