Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590780735017,2.5301542186737063,0.0938,0.0945
1,52.22672089755535,52.4734593501687,0.0906,0.0895
2,81.4053999876976,81.31121040552854,0.117025,0.1192
3,71.97892349069939,71.80776045903441,0.14015,0.1391
4,79.0377310385299,78.91088752068467,0.134475,0.1359
5,93.12886692950579,93.41440825676742,0.162675,0.1612
6,99.95976175361989,100.48097317705154,0.141225,0.1404
7,118.63524256714582,119.08911428213119,0.08325,0.0808
8,118.32049250136014,118.31736238072044,0.114475,0.1156
9,114.81504837244749,114.96687440261245,0.12405,0.1257
10,118.0763354157284,118.07547199687687,0.134375,0.1334
11,127.60009588330985,127.7374990477413,0.0935,0.0911
12,124.04605957508087,124.34174491405487,0.09775,0.0966
13,129.11978341698648,129.59920916557311,0.093475,0.0916
14,152.4875522595644,152.94816896796226,0.138875,0.1372
15,138.14793464042248,138.4832125903666,0.13105,0.1319
16,141.41813291341066,141.644631928131,0.15135,0.1509
17,141.63138100339762,141.70171130189897,0.15715,0.158
18,145.3640220524352,145.61401767948644,0.160575,0.1605
19,143.49013336055447,143.43061163187028,0.18315,0.1811
20,142.08778022170065,142.12804289281368,0.170225,0.1672
21,150.81219548225403,150.6193142561345,0.173225,0.1726
22,148.23392445206642,147.94429293081166,0.174975,0.1729
23,150.66922213353217,150.51342824190854,0.18,0.1765
24,143.93464784080012,143.68438185739518,0.164425,0.1618
25,143.6234560060501,143.4103869485855,0.1623,0.161
26,145.95181042672397,145.44108726707492,0.165,0.1682
27,152.1147929989733,151.86256318477885,0.1904,0.1906
28,155.50798744471072,155.0722042133403,0.18315,0.1876
29,157.3033873742819,157.04778588175773,0.17905,0.181
30,164.58273189097642,164.10310905491113,0.1817,0.1818
31,158.97335135914386,159.07922139763832,0.1573,0.1579
32,151.97606220576913,151.95528581321238,0.173475,0.1753
33,148.0799184437096,147.95506710737945,0.16445,0.1621
34,148.0032485473156,147.83395032644273,0.1882,0.1913
35,142.1511420238018,141.92207029998303,0.2134,0.2169
36,147.57618997335433,147.35445953607558,0.20465,0.2061
