Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590780735017,2.5301542186737063,0.0938,0.0945
1,2.4960527384281157,2.4977623426914217,0.111275,0.1093
2,2.4575517165660856,2.458613783121109,0.131375,0.1301
3,2.415042586326599,2.4165098118782042,0.15365,0.1529
4,2.390134778022766,2.391409240961075,0.158925,0.1589
5,2.3734963488578797,2.375556952357292,0.14695,0.1481
6,2.3525061583518982,2.355191746354103,0.164875,0.1653
7,2.317494295835495,2.3195852029323576,0.17585,0.175
8,2.2915597426891328,2.2930677312612535,0.183775,0.1818
9,2.274857973456383,2.2764461731910703,0.184525,0.1853
10,2.2756164014339446,2.2772954630851747,0.1729,0.1731
11,2.2550761219859123,2.256880457997322,0.192425,0.1916
12,2.245402667224407,2.24729545623064,0.192,0.1884
13,2.235216658115387,2.2377871865034105,0.1935,0.1921
14,2.2376003310084345,2.2403148913383486,0.176675,0.1763
15,2.209593019783497,2.2122487485408784,0.195825,0.1982
16,2.1965340924263,2.1985192725062372,0.20775,0.2074
17,2.191605133712292,2.1933670416474342,0.20095,0.2011
18,2.1805201295018195,2.1823695021867753,0.205375,0.2055
19,2.1646907034516336,2.166096159219742,0.227925,0.2271
20,2.1390444546937943,2.139935979247093,0.245425,0.2469
21,2.1329429909586906,2.1333107095956803,0.250175,0.2493
22,2.12864342212677,2.128905689120293,0.254025,0.254
23,2.105332127511501,2.105716398358345,0.2474,0.2506
24,2.078019177913666,2.0776836895942687,0.280975,0.283
25,2.0698830008506777,2.0697665399312974,0.27025,0.2717
26,2.061062553524971,2.0604480075836182,0.29045,0.2918
27,2.058620362877846,2.058163740038872,0.294225,0.2928
28,2.046287416815758,2.0463680601119996,0.29255,0.2923
29,2.0313245326280596,2.031577700674534,0.30875,0.3121
30,2.0243647652864456,2.0247202733159066,0.318675,0.3203
31,2.0168121448159217,2.0180172926187514,0.312175,0.3121
32,1.9905902311205863,1.9919999238848687,0.3215,0.3249
33,1.9792973685264588,1.9803218510746956,0.334325,0.3387
34,1.9647350272536277,1.9657314720749854,0.351875,0.3574
35,1.9470475354790688,1.9477158343791963,0.35955,0.3646
36,1.943628554046154,1.9450515741109848,0.35005,0.3535
37,1.9354420468211173,1.937035263478756,0.351575,0.3567
38,1.9315082581341267,1.9330578817427158,0.36375,0.3642
39,1.9151129280030728,1.916863204985857,0.376175,0.3774
40,1.9017033256590365,1.903966390043497,0.3688,0.3699
41,1.8882798580825328,1.8903955137729644,0.40515,0.4095
42,1.8867934933304786,1.8885911254584788,0.396525,0.3971
43,1.8854684591293336,1.8873847623169422,0.39435,0.3939
44,1.8742574721574783,1.8759593616425991,0.397275,0.3972
45,1.853656615614891,1.855425771176815,0.419625,0.419
46,1.8505585646629334,1.8522269915044307,0.406275,0.407
47,1.8362882828712463,1.8376043528318404,0.42425,0.4215
48,1.8225432354211808,1.8246907234191894,0.4292,0.4303
49,1.8094458404183387,1.8119379583001136,0.44215,0.4421
50,1.812266702055931,1.8152540534734727,0.440475,0.4397
51,1.8093553188443183,1.812334451675415,0.42755,0.4271
52,1.802144043445587,1.8046336877346039,0.440525,0.4397
53,1.7964128577709197,1.7991106247901916,0.440225,0.44
54,1.7877179062366486,1.7898784840106965,0.440625,0.4416
55,1.785249120891094,1.7874683812260628,0.4456,0.4474
56,1.7790396237373352,1.7822509920597076,0.451075,0.4523
57,1.7651104632019996,1.7679399529099464,0.4687,0.4677
58,1.7564073076844215,1.7591107255220413,0.4703,0.4705
59,1.7505978894233705,1.7527918127179145,0.47235,0.4757
60,1.7476995247602463,1.749877686202526,0.475675,0.4761
61,1.7362729847431182,1.738401327431202,0.4866,0.4873
62,1.7255592021346091,1.7278810334205628,0.486575,0.4855
63,1.7248651878535748,1.7270306253433227,0.478075,0.4817
64,1.7236784708499908,1.72587488129735,0.467675,0.4679
65,1.7202980690449476,1.7226911923289299,0.46645,0.4695
66,1.7259952376037837,1.7277742194384336,0.459125,0.4612
67,1.7067478539049625,1.7091266697645187,0.4683,0.4695
68,1.6942419457435607,1.6968504274636507,0.473925,0.4731
69,1.688889542222023,1.6912590818107127,0.476225,0.4774
70,1.6760157029330731,1.6773443869501352,0.47065,0.4722
71,1.6556086832284926,1.6575489240139722,0.4823,0.4853
72,1.6372378818690776,1.6391903406381607,0.5014,0.5032
73,1.6295927089452744,1.631956339776516,0.49475,0.4948
74,1.6169961857795716,1.6195064559578896,0.50745,0.5076
75,1.6179490648955106,1.620669189915061,0.500025,0.5006
76,1.6205069064348936,1.623168883025646,0.490775,0.492
77,1.6234309700131417,1.6264180188626052,0.494125,0.4953
78,1.61360852830112,1.6165309388935567,0.50175,0.5036
79,1.613392400443554,1.6153493045270444,0.495,0.4965
80,1.6006097304075957,1.6024144136160612,0.514825,0.5152
81,1.5881566312164068,1.5900299847126007,0.518375,0.519
82,1.575978360027075,1.5780566427111626,0.527325,0.5275
83,1.5779052472114563,1.5803321124613285,0.52915,0.5305
84,1.5591056011617184,1.561880153119564,0.5436,0.5429
85,1.571260902285576,1.57392465159297,0.5222,0.5222
86,1.564108441323042,1.5667942996323108,0.536775,0.5361
87,1.5590807242691518,1.5609833897650243,0.531425,0.5301
88,1.543205053061247,1.5450547994673252,0.543925,0.5435
89,1.5388646638393402,1.5414034672081471,0.55475,0.5536
90,1.5324396216869354,1.5347611656785012,0.555375,0.5552
91,1.52132838383317,1.5240000455081464,0.5595,0.5574
92,1.525478328615427,1.5277724635601044,0.548325,0.5463
93,1.5144114305078984,1.5173918408155442,0.55215,0.5495
94,1.5074274291098118,1.5106974455714226,0.5573,0.5544
95,1.48913013368845,1.4926553912460805,0.563725,0.5611
96,1.4889890728890895,1.492925275117159,0.562425,0.5604
97,1.4896923032402993,1.4940292716026307,0.558275,0.5546
98,1.493724041134119,1.4987691549956799,0.550575,0.5488
99,1.4840877985954284,1.4891128551214934,0.55135,0.5494
100,1.475224598273635,1.4804755537211896,0.5583,0.5552
101,1.4879067170992493,1.4934385743737222,0.5475,0.5459
102,1.4867095375433563,1.4921173529326917,0.54285,0.5435
103,1.4713466721773147,1.4768589971214532,0.5493,0.5491
104,1.4697486056387425,1.4747828617691994,0.5532,0.5527
105,1.4565301157534123,1.4626187846064567,0.573275,0.5734
106,1.4486360865831376,1.4546428168565035,0.567375,0.5691
107,1.442223653420806,1.4479597850888968,0.566875,0.5682
108,1.4500098341703416,1.4563176734000445,0.562875,0.5625
109,1.4430209958553315,1.4498070039600135,0.5688,0.5716
110,1.4414300100505353,1.4483818766474723,0.57555,0.5768
111,1.444264072701335,1.4512796669453383,0.57075,0.5716
112,1.4325009626895189,1.439017939120531,0.5747,0.5747
113,1.4209322912991047,1.4279347041249275,0.5793,0.5789
114,1.4207172279059888,1.4279935494810343,0.5808,0.5825
115,1.408670124039054,1.4159691850841045,0.581575,0.5807
116,1.4073502491414547,1.4142680592834949,0.5782,0.575
117,1.408574274480343,1.415216514468193,0.5725,0.5729
118,1.402728694230318,1.409108739644289,0.572475,0.5741
119,1.4043098229914903,1.41039512000978,0.563225,0.5651
120,1.4044475696980954,1.4105738492310047,0.5668,0.5683
121,1.401807143315673,1.40771874666214,0.5573,0.5599
122,1.3961543752998113,1.401910113170743,0.559625,0.5606
123,1.3795773960649966,1.385840652808547,0.574325,0.5723
124,1.3767727670818568,1.3827443647384643,0.576375,0.5734
125,1.3736900448054075,1.3795983462035657,0.5778,0.5773
126,1.3643730793893338,1.3704150681197644,0.5794,0.577
127,1.3634087543189526,1.3695998261123896,0.581425,0.5815
128,1.3722902631014586,1.3783691299706697,0.571525,0.5713
129,1.3639724256098271,1.3696976232528686,0.574375,0.5742
130,1.354757333919406,1.3602913697063923,0.574325,0.5762
131,1.3630597465485335,1.3689884332567452,0.5792,0.5777
132,1.3459196151047945,1.351817812770605,0.58685,0.5842
133,1.3606139390915633,1.366367144063115,0.585225,0.584
134,1.3619217421859502,1.36758025996387,0.5832,0.5833
135,1.3613816382735968,1.366842445731163,0.583925,0.5821
136,1.3612732987105847,1.3666490626335144,0.5811,0.5779
137,1.3495118764787912,1.3544478686898946,0.582775,0.5807
138,1.3322568248212336,1.3372343254089356,0.589275,0.5904
139,1.3328829711303114,1.3376407473906875,0.586275,0.5839
140,1.3259163451194764,1.330351703390479,0.59415,0.5937
141,1.3200257156044244,1.3246005964279175,0.5909,0.591
142,1.3190779710561038,1.3232659003511071,0.589075,0.5876
