Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590780735017,2.5301542186737063,0.0938,0.0945
1,3.9338337290287018,3.9326184594631197,0.100775,0.1017
2,5.058024608325213,5.0517129812203345,0.119425,0.1228
3,4.756876744925976,4.765350892990828,0.129375,0.127
4,5.301809086799621,5.301158539205789,0.1289,0.1264
5,6.094003754854202,6.11292132511735,0.111775,0.1098
6,6.784594072070904,6.771373927951791,0.124875,0.1277
7,7.498082376644016,7.498827836863493,0.154725,0.1499
8,7.967505100201816,7.935613188161515,0.136525,0.1378
9,9.03253352657659,8.998669493212365,0.126325,0.1251
10,9.112350174114107,9.089009703360498,0.1273,0.1275
11,10.05510530591011,10.051481368299573,0.13435,0.1315
12,10.285615960285067,10.276910890046565,0.138225,0.1356
13,10.261935626342893,10.25943900543265,0.0962,0.0963
14,9.926123658940195,9.923026496429229,0.098675,0.0967
15,10.311955709829926,10.300315534967813,0.1143,0.1135
16,10.020019765070174,10.037779043340125,0.1655,0.1672
17,10.108152785510756,10.119570774189196,0.14445,0.1452
18,10.620029329571516,10.64967753381161,0.141325,0.1412
19,10.664565896313638,10.692867016244017,0.15725,0.1546
20,10.356384674414002,10.384455413376317,0.168225,0.1688
21,10.422812632071347,10.463165241913797,0.170475,0.1688
22,10.28753792869651,10.333865963689732,0.159575,0.1574
23,10.120145612172783,10.166081142826005,0.163025,0.1637
24,9.93367689140141,9.972985100224614,0.165225,0.1635
25,9.920086585190147,9.96106984381564,0.1706,0.1711
26,10.228269016966223,10.260680192559958,0.1826,0.1783
27,9.762917897343577,9.794186394641365,0.18955,0.1901
28,9.94071276466915,9.976402999890997,0.182625,0.1829
29,10.377373612555676,10.422416981407878,0.1965,0.1931
30,10.292606293880954,10.34107468500426,0.173325,0.1713
31,9.660198831366392,9.668958077646336,0.173575,0.1747
32,10.22619169150445,10.237876428768624,0.161675,0.1628
33,10.699623346893354,10.724025912424949,0.157625,0.1591
34,10.180426326054228,10.221121449791562,0.1821,0.1836
35,10.847013714550425,10.894198480228335,0.17765,0.1804
36,11.092817610757116,11.138837658513786,0.1827,0.1862
37,11.47772319136178,11.53585659298309,0.202925,0.203
38,11.206878993383397,11.256464619271108,0.19555,0.1964
39,11.203688814229297,11.252350643612568,0.19045,0.1928
40,11.923104814130316,11.974734407055465,0.173925,0.1739
41,12.044529041476327,12.116076344604727,0.169775,0.1695
42,11.976919506822526,12.033596390127856,0.197825,0.2016
43,12.032877748384964,12.081268781910833,0.1954,0.1972
44,11.918765310201033,11.976446299212054,0.20105,0.2011
45,11.919557649196694,11.98198889394346,0.190975,0.189
46,11.708469314527337,11.772284657426932,0.184925,0.1825
47,11.357744832844142,11.42011027626783,0.186325,0.1869
48,11.638910785201187,11.702783039160218,0.186725,0.1852
49,11.49538110308886,11.544708586375421,0.168125,0.167
50,11.825560987378084,11.87683776342652,0.16995,0.167
51,11.832437802657227,11.893615734279761,0.1662,0.1656
52,12.049188722410777,12.105250937998242,0.162425,0.1585
53,12.526632616847856,12.582928330672658,0.161225,0.157
54,12.700865907958415,12.739630822872677,0.1559,0.155
55,12.653839134760995,12.708570951384461,0.174075,0.1699
56,12.12490745114843,12.201796060447759,0.1951,0.1958
57,12.284837413825262,12.39751089826689,0.190125,0.1885
58,12.415803327248332,12.518155861116089,0.17795,0.1781
59,12.693750094660045,12.79278174965521,0.176875,0.1739
60,12.936931795843448,13.05117136075912,0.164625,0.1645
61,12.978713898040482,13.091994700931423,0.163475,0.16
62,13.147253523396625,13.252167929949204,0.168275,0.1668
63,13.012583150514788,13.112764087742248,0.16725,0.1645
64,13.00210527958341,13.116029810237935,0.177825,0.1777
65,13.567285262358608,13.68539412386408,0.165775,0.1668
66,12.850994915018637,12.95211798737003,0.179325,0.1795
67,12.616547650987776,12.722950607149397,0.1921,0.1926
68,12.325846528119163,12.408750479188598,0.18965,0.1887
69,12.011191893014395,12.103621915773983,0.1827,0.1816
70,12.242130004223629,12.335484024347506,0.168025,0.1687
71,12.455892265776187,12.548031408294921,0.17485,0.1758
72,12.599469251182745,12.700696986166877,0.16805,0.1662
73,12.943173101812135,13.055043646688464,0.1655,0.164
74,12.509621561748258,12.581020595695328,0.170575,0.1711
75,12.844485187551228,12.91064471173115,0.170125,0.1695
76,12.590701836493832,12.652351193253768,0.19965,0.2009
77,12.781745180120701,12.820525530247242,0.194425,0.1937
78,12.429653816510962,12.459278646125867,0.206,0.2073
79,12.406233553815936,12.403962168409732,0.18995,0.1932
80,12.360421907505346,12.345523150576584,0.17665,0.1804
81,12.124446021247714,12.105550607443277,0.17685,0.18
82,11.820813896000496,11.804407946646725,0.2021,0.2039
83,11.820128454288069,11.801690570275632,0.216925,0.2232
84,12.562235470860994,12.553275032705798,0.214575,0.219
85,12.83742462527754,12.824422283980967,0.20705,0.2096
86,12.867944582713172,12.865966142734543,0.201575,0.2038
87,13.264637529522922,13.269001176972667,0.200475,0.1992
88,12.780959315177045,12.795216919855438,0.193625,0.1944
89,12.83982049439782,12.86699002043181,0.202875,0.2028
90,13.161944377896143,13.194288272836129,0.19585,0.1969
91,13.520280332785333,13.546135601700225,0.193475,0.1922
92,13.111145153820218,13.127827784727872,0.195675,0.1945
93,13.533873110650195,13.54160794937249,0.2049,0.2094
94,13.256826170284443,13.274381943218584,0.201425,0.2037
95,13.401110171461454,13.426875802730233,0.1952,0.1939
96,13.545601004276236,13.57141372635554,0.1909,0.194
97,13.688815088653843,13.706301495689003,0.1979,0.2008
98,13.486219956608783,13.501931909120968,0.21085,0.2116
99,13.108524735088967,13.106089707133078,0.217125,0.2216
100,13.727848752463505,13.736216985037132,0.22365,0.2292
101,13.332937772806627,13.368417840054544,0.2483,0.2501
102,13.26911241269735,13.313007116716099,0.2612,0.2618
103,13.2412737576627,13.288650035724393,0.269725,0.269
104,12.90225832543461,12.934816045517973,0.290725,0.2892
105,12.945350971069931,12.982372367388782,0.271675,0.2724
106,13.051923917632797,13.09074060743072,0.262075,0.2638
107,12.861713365626379,12.9022933144724,0.260975,0.2591
108,12.780166570025767,12.815750080150636,0.253825,0.255
109,12.53320492361708,12.551248929490816,0.261175,0.2632
110,12.767244414173765,12.785296648953313,0.258475,0.2568
111,13.12527754511049,13.153422803934227,0.239725,0.24
112,12.909630145881533,12.927060933390166,0.244425,0.2473
113,12.696980989923325,12.728884706143582,0.2458,0.2482
114,12.981935626094055,13.030877882873174,0.24755,0.2481
115,12.979548216373368,13.019594697398134,0.247225,0.2471
116,12.972895076740533,13.000896719340234,0.25555,0.2531
117,12.878271730407869,12.890107230688445,0.263975,0.2638
118,12.79558976010332,12.798523435108363,0.268225,0.2691
119,12.640205236780785,12.636969905789591,0.260925,0.2579
120,12.58335369476887,12.576464840346919,0.271025,0.2696
121,12.804862373455531,12.786508998674709,0.277025,0.2738
122,13.486648688454402,13.476243870829046,0.2638,0.2619
123,14.23832330148053,14.23812476756349,0.2317,0.2337
124,14.163560020394687,14.160312573422491,0.2394,0.2384
125,13.471023784335088,13.453270936954764,0.279775,0.2758
126,13.13600380508303,13.130526948716678,0.287925,0.2863
127,13.6952186258978,13.666777581832937,0.272625,0.2725
128,14.684384320322183,14.648406118865259,0.263425,0.2635
129,14.725130219030934,14.69748183144172,0.26605,0.2631
130,14.833414496307352,14.792033087967539,0.26225,0.2611
131,14.907927739029715,14.861603179467856,0.25695,0.2529
132,15.152446041948247,15.099195788233741,0.2588,0.2607
133,14.751971591070326,14.706733355035356,0.270525,0.2695
134,14.145302942130858,14.121721480526501,0.250775,0.2485
135,13.541997154406179,13.520836258229794,0.26065,0.2595
136,13.629371118019515,13.57873364688069,0.27565,0.2787
137,13.196410011102131,13.147847710064497,0.2875,0.2923
138,13.238664938606513,13.209803392972006,0.28885,0.2888
139,13.412912151904532,13.38826617258736,0.2858,0.2864
140,13.378418712660984,13.340707097550267,0.2923,0.2931
141,13.761799084895541,13.719065886379232,0.292225,0.2934
142,13.904522982477426,13.870868509489542,0.287225,0.2888
143,14.235233056113385,14.19964121959316,0.2844,0.288
144,14.21255125260244,14.192785569757502,0.280925,0.2817
145,14.136267140073416,14.13795130479738,0.27555,0.2752
146,14.038569425476398,14.031543990930897,0.277975,0.2796
147,14.137201516991842,14.145011795794684,0.283275,0.2854
