Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.392582762956619,2.392278226852417,0.107185,0.1082
1,2.362059310078621,2.3617480750083923,0.13468,0.13418
2,2.3338856652379034,2.333337660431862,0.1699075,0.17032
3,2.2955495250821114,2.29525099003315,0.1754825,0.1751
4,2.287032955944538,2.2868870455026626,0.183565,0.18444
5,2.2630265417695044,2.262897341012955,0.18607,0.18681
6,2.216607937812805,2.2164977433681488,0.1824475,0.18276
7,2.184062634408474,2.183767526984215,0.2036775,0.20429
8,2.1642915614843368,2.164022861123085,0.21382,0.21453
9,2.1510961865782736,2.151184897780418,0.2118425,0.21182
10,2.1182724046111105,2.1181325067281724,0.224245,0.22358
11,2.0910301055908205,2.091233342885971,0.23605,0.23425
12,2.05792465865612,2.058234164714813,0.25753,0.25601
13,2.0470654302239417,2.0473994837999343,0.2675075,0.26602
14,2.0250706412792208,2.025551759123802,0.28243,0.2818
15,2.0142359647750854,2.014885737776756,0.2840825,0.28339
16,1.987398144364357,1.987811884522438,0.2878825,0.28684
17,1.9660090870857239,1.965947233080864,0.31041,0.31053
18,1.9380500821471214,1.93819169819355,0.3434575,0.34268
19,1.925391037404537,1.925169155240059,0.3535925,0.3531
20,1.910710402429104,1.910495130777359,0.36335,0.36364
21,1.89976191842556,1.899324248790741,0.3740275,0.37364
22,1.8833096271157266,1.883095641374588,0.3912925,0.3904
23,1.8746517649292946,1.8742707382440567,0.384655,0.38379
24,1.8630006620287896,1.8631190153360366,0.3867825,0.38522
25,1.8502494445443154,1.8500244433879853,0.407035,0.40603
26,1.8372399194836617,1.8372506341934205,0.4133,0.41235
27,1.8260715390443802,1.8259648489952087,0.4108725,0.41052
28,1.8127231686711311,1.8126617020368576,0.405105,0.40407
29,1.8110579513907432,1.8106002380847932,0.4063925,0.40606
30,1.8007244315743447,1.8001181181669235,0.407465,0.40761
31,1.8007244307398795,1.800118130683899,0.407465,0.40761
32,1.7956897077560425,1.7951908171176911,0.405575,0.40582
33,1.786562457561493,1.786047175526619,0.421385,0.42199
34,1.7755772500634193,1.7747764889001847,0.4399175,0.44
35,1.7626139333844184,1.762244506597519,0.4396875,0.44001
36,1.7593474410176277,1.758933419942856,0.43264,0.43327
37,1.7580591143369675,1.7575427488088609,0.437525,0.43826
38,1.7434187481999397,1.7429635190963746,0.445135,0.4458
39,1.7342145398855209,1.7337695276737213,0.442175,0.44214
40,1.7307266889214517,1.7303653498291969,0.434775,0.43516
41,1.7378685189783574,1.7372228940725327,0.435755,0.43637
42,1.7285152035355569,1.7278309297561645,0.4427575,0.44303
43,1.7251940326690673,1.724386506676674,0.455285,0.45583
44,1.7100538494288922,1.7093876603841782,0.4560275,0.45595
45,1.7056631042361259,1.7047821875810623,0.4584225,0.45864
46,1.6966979159116744,1.6958779695034027,0.473175,0.4739
47,1.690075270473957,1.6893468778133391,0.4696125,0.47011
48,1.6794279054999353,1.6785228251814843,0.479105,0.47829
49,1.6605467134714127,1.65968282186985,0.48641,0.48632
50,1.6539687014818192,1.6532654274702072,0.4851275,0.48509
51,1.65024592679739,1.6495989834070206,0.4851625,0.48522
52,1.6491638914346696,1.6483780425786971,0.4841425,0.48406
53,1.645807549893856,1.6451145795583726,0.4834525,0.48352
54,1.6427485420405865,1.6418062784671783,0.48194,0.48163
55,1.6339744189977645,1.6329533236026763,0.4819575,0.4821
56,1.6343125138282777,1.6332643251419068,0.48024,0.47998
57,1.6305457782149315,1.629722702383995,0.4786625,0.4784
58,1.6240480381846427,1.6234325590133667,0.48115,0.48089
59,1.616629129230976,1.6160949665904045,0.498095,0.49764
60,1.609933079391718,1.609293355703354,0.50423,0.50489
61,1.6010556562542915,1.6003864110708237,0.511295,0.51268
62,1.596841212749481,1.596147430419922,0.5069875,0.50738
63,1.6011634694635868,1.6005037095546721,0.506065,0.50648
64,1.593599095761776,1.5931558225154876,0.509675,0.50977
65,1.5934234753847123,1.5930691798329353,0.50637,0.50722
66,1.5867444939017297,1.5862667579054832,0.5064025,0.50751
67,1.5796282782852649,1.5788533838391303,0.5116725,0.51277
68,1.5777118434011936,1.5767478863596915,0.51803,0.51827
69,1.5755945383310317,1.5746372157335282,0.510055,0.5108
70,1.5725764013826846,1.5716665902137756,0.5180725,0.51919
71,1.5718111844062805,1.5709030003547668,0.5207575,0.52183
72,1.5623675962984562,1.5616095041036606,0.5256725,0.52706
73,1.558995855242014,1.5583708889484404,0.5276575,0.52864
74,1.5517585693597793,1.5514290393590928,0.53338,0.53392
75,1.5462928626835346,1.5458698046207429,0.5371775,0.53846
76,1.5370497343242169,1.5368609716892243,0.53148,0.53178
77,1.532860258936882,1.5324665678739549,0.5359075,0.53595
78,1.5275721704661847,1.5271055597066878,0.5394175,0.53895
79,1.52596545958519,1.5253218047618866,0.54591,0.5462
80,1.5207427397966384,1.520292313694954,0.544735,0.54536
81,1.521934437841177,1.5220072587728501,0.53875,0.53952
82,1.5165072873234748,1.5164883988499642,0.54389,0.54427
83,1.5103181959986687,1.5100805787444114,0.547885,0.54808
84,1.509261131554842,1.5091287481188773,0.545985,0.54592
85,1.5462855891287326,1.5451204680800439,0.521695,0.52274
86,1.5370097819566726,1.5357727590203285,0.52685,0.52752
87,1.5331589540839194,1.5321989701390266,0.5349475,0.53671
88,1.5301131338775158,1.5292416824698447,0.5332525,0.53393
89,1.5309200186133385,1.5299702818393708,0.539205,0.54008
90,1.529101808398962,1.5280185738801957,0.54165,0.54236
91,1.5275666400194168,1.526469999551773,0.53549,0.53611
92,1.5297291891872882,1.5281947745680808,0.536595,0.53678
93,1.5262040315568448,1.5245338641405106,0.5397075,0.54027
94,1.517514841645956,1.5156022509932519,0.539045,0.53989
95,1.518573941528797,1.5162844237089157,0.5304775,0.53212
96,1.519136227428913,1.5169488112926484,0.5403325,0.5417
97,1.5152743301093579,1.513245658814907,0.5422675,0.54361
98,1.511131511271,1.5090165374279023,0.548145,0.54888
99,1.5058997544646262,1.5036807938218117,0.55516,0.55613
100,1.5001294861137866,1.497772818028927,0.55761,0.55987
101,1.5032766096293926,1.5007172203063965,0.5477875,0.54928
102,1.500708747893572,1.4981852890253067,0.5526325,0.55379
103,1.5006869063675403,1.498053040742874,0.5528325,0.55378
104,1.4972288081347942,1.4946892085671424,0.5534325,0.55485
105,1.499870504140854,1.4975214333534241,0.5566575,0.55819
106,1.4901604278981686,1.487848826110363,0.5595575,0.5616
