Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.392582746505737,2.392278246879578,0.107185,0.1082
1,2.370784416437149,2.370523072719574,0.1252125,0.12573
2,2.3471448588371278,2.3467471277713776,0.1545075,0.15441
3,2.3165402250289917,2.316319949388504,0.1671075,0.16725
4,2.307296065092087,2.3072151894569397,0.1698625,0.16967
5,2.3263573112487794,2.3263596749305724,0.158595,0.15873
6,2.298621933221817,2.2983989889621737,0.167485,0.16784
7,2.2722251398563387,2.2718971118927,0.18644,0.18652
8,2.2514244973659516,2.251169233560562,0.1916175,0.19245
9,2.2475194399356844,2.247081218481064,0.1916825,0.19239
10,2.221139810204506,2.2205915894508363,0.2037375,0.20417
11,2.192163174152374,2.1919932240247726,0.2157075,0.21546
12,2.163543318748474,2.163617420554161,0.23105,0.23109
13,2.1735410076379775,2.1736338599324228,0.223115,0.22272
14,2.1542316067814826,2.154557024657726,0.22776,0.22673
15,2.1489907710552214,2.149642143845558,0.2283525,0.22781
16,2.1321157419085504,2.132587041914463,0.2247425,0.22404
17,2.118263888835907,2.1185377730131147,0.237215,0.23647
18,2.088530139684677,2.088969793200493,0.26642,0.26537
19,2.0740555473566054,2.0742124271392823,0.2673825,0.26771
20,2.053114741504192,2.0532862858176233,0.27402,0.27457
21,2.0446805056929587,2.0442841497063635,0.2950975,0.29547
22,2.0232752096652984,2.023081058681011,0.3053925,0.30589
23,2.024446731567383,2.023813510596752,0.3015525,0.30176
24,2.008859670460224,2.0085293449759485,0.30665,0.30647
25,1.9892229279875755,1.9885798318982124,0.3193725,0.31941
26,1.973382473886013,1.9731060448884965,0.325615,0.3261
27,1.976273474931717,1.976269319832325,0.317525,0.31914
28,1.963947610616684,1.9640908290743828,0.3180925,0.31886
29,1.9547017608284951,1.9544478927254676,0.33673,0.33871
30,1.9437269605994225,1.9434804837703705,0.332675,0.33405
31,1.943726960361004,1.94348047965765,0.332675,0.33405
32,1.9380249434709549,1.937861022889614,0.3292075,0.32998
33,1.926991225004196,1.9268273918628693,0.3377075,0.33864
34,1.9244826499819756,1.923901287138462,0.3328025,0.33399
35,1.912441525697708,1.9123435443043708,0.3394475,0.33975
36,1.908640267789364,1.9083489470481874,0.3346475,0.33541
37,1.9079051409959793,1.9076564395427704,0.345425,0.34557
38,1.890497229039669,1.8902866173386574,0.3484,0.34875
39,1.8789147372841835,1.878924618601799,0.3608225,0.36139
40,1.8687399430274962,1.8693731220960617,0.366815,0.36703
41,1.8670752836465836,1.8674180687069892,0.3710675,0.37093
