Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.392582746505737,2.392278246879578,0.107185,0.1082
1,2.3644655957221983,2.364145003080368,0.124555,0.12497
2,2.338173262834549,2.3376485166549683,0.1331175,0.13375
3,2.308310394525528,2.307903394460678,0.1463275,0.14736
4,2.284586058855057,2.2843257241249084,0.157155,0.15781
5,2.2551822168827056,2.2550286922454834,0.173885,0.17607
6,2.229966868162155,2.22988778424263,0.178585,0.18025
7,2.203811997652054,2.2038298201560975,0.194035,0.19662
8,2.1844664301872254,2.1845904378890992,0.2070825,0.2089
9,2.1640047934055326,2.164296194791794,0.22118,0.22238
10,2.1453407971858978,2.1455921823978423,0.2267775,0.22741
11,2.1191316680908203,2.1194841225147245,0.2438075,0.24508
12,2.1001719267368317,2.100450373649597,0.2563525,0.25679
13,2.0783820289373396,2.0787755185365677,0.2669975,0.26738
14,2.0609926805496217,2.0613939528465273,0.2757125,0.27609
15,2.0421166889667512,2.0427646741867065,0.2825425,0.28193
16,2.0239016581773757,2.0244784519672394,0.29037,0.28927
17,2.005846599698067,2.006215024471283,0.301585,0.30103
18,1.986169772863388,1.9866192047595979,0.30714,0.30653
19,1.9722657738924025,1.9726169261932374,0.320335,0.32076
20,1.9569162853956223,1.9572303098440171,0.3304075,0.33097
21,1.9395617185831069,1.9397661600112914,0.3381125,0.33856
22,1.9263796451091766,1.9266547830104828,0.34364,0.34444
23,1.914661198735237,1.9148692688941955,0.3486825,0.34928
24,1.900526998758316,1.9007430546283721,0.351635,0.35142
25,1.8855504796504974,1.8855131471157074,0.3617525,0.36262
26,1.8727504312992096,1.8727055468559266,0.36748,0.36833
27,1.8625244174003601,1.8624396117925643,0.3724225,0.37352
28,1.8535270107984543,1.853370324254036,0.3758225,0.37699
29,1.841611121892929,1.8414111787080765,0.3765925,0.37782
30,1.8297461632490157,1.8295937453508377,0.3856725,0.38516
31,1.8223412840366364,1.8224332302808761,0.3833525,0.38281
32,1.81321457862854,1.813390000462532,0.38357,0.38432
33,1.8014975970983504,1.801668055176735,0.3952875,0.39604
34,1.7915060528516769,1.7915111951828002,0.407395,0.40843
35,1.7796262359619142,1.7799106917977332,0.4078425,0.40743
36,1.7691599234342574,1.7694244647622108,0.4123025,0.41207
37,1.7618364995121956,1.761966066300869,0.41899,0.41921
38,1.7546402463912965,1.7548945684432984,0.4208925,0.42207
39,1.7473752336502075,1.7475241382718085,0.4264275,0.42717
40,1.7382686541080474,1.7383208584189416,0.425325,0.42547
41,1.7291297450065612,1.7291773797869683,0.430795,0.43116
42,1.724479957640171,1.7246042324900628,0.4340675,0.43431
43,1.7182513025403023,1.7183523517847061,0.4336375,0.43356
44,1.708540525853634,1.7086287736296655,0.437055,0.43735
45,1.701109792113304,1.70094825643301,0.433525,0.43375
46,1.6928621715903283,1.6927977519631385,0.43828,0.43872
