Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.128190770149231,4.128701794147491,0.0038875,0.00335
1,4.317376493215561,4.313809776306153,0.020925,0.021
2,4.2819794654846195,4.283176511526108,0.01335,0.0127
3,4.224684566259384,4.224239450693131,0.0533625,0.05325
4,4.241042848825455,4.234766674041748,0.0364875,0.03945
5,4.220775102376938,4.215857058763504,0.0261125,0.027
6,4.095407875776291,4.090696102380752,0.035825,0.03605
7,4.210158230066299,4.210356175899506,0.0385625,0.03725
8,4.094688169956207,4.095387697219849,0.0428125,0.0406
9,4.096850980520248,4.090896511077881,0.0167625,0.01725
10,4.133435531854629,4.133374398946762,0.026675,0.02565
11,4.072417993545532,4.059793823957444,0.0519,0.0541
12,4.172410336732864,4.168302750587463,0.015475,0.0169
13,4.11910493016243,4.117411625385285,0.046525,0.04965
14,4.065759952068329,4.067675757408142,0.0431,0.04355
15,4.080407717227936,4.081356430053711,0.0602125,0.063
16,4.037092816829682,4.041143137216568,0.0671625,0.0681
17,4.057534867525101,4.063034027814865,0.05715,0.05705
18,4.072386929988861,4.078303545713425,0.0363625,0.0391
19,4.053292555809021,4.060118061304093,0.039825,0.0401
20,4.033086066246033,4.040269285440445,0.0787625,0.08085
21,4.013843026161194,4.019371920824051,0.0427,0.044
22,3.98297780752182,3.985707092285156,0.0467875,0.04745
23,4.023223620653153,4.025156497955322,0.0632,0.0643
24,4.013576767444611,4.015587812662124,0.0415125,0.04345
25,3.9639665448665617,3.9700555980205534,0.0438125,0.0454
26,3.9800704860687257,3.9865301191806792,0.0437,0.04455
27,3.9693628764152527,3.971543776988983,0.040475,0.04115
28,3.9496003305912017,3.9525822401046753,0.0272375,0.0262
29,3.9379009878635407,3.9426023244857786,0.0615875,0.06325
30,3.9598736035823823,3.966845828294754,0.031875,0.03105
31,3.9477417206764223,3.9573431730270388,0.0313,0.03035
32,3.948229900598526,3.957429414987564,0.02895,0.0279
33,3.9358489787578583,3.9447059452533724,0.0708375,0.07055
34,3.9188755810260774,3.926862508058548,0.054375,0.0548
35,3.9417693614959717,3.9503123223781587,0.0689375,0.0692
36,3.9347964084148406,3.9413986086845396,0.056825,0.0579
37,3.918848589658737,3.924890971183777,0.0572,0.0583
38,3.9131744730472566,3.916589778661728,0.057025,0.058
39,3.9064507150650023,3.9101672947406767,0.0619125,0.06275
40,3.9385354351997375,3.942278003692627,0.057425,0.05855
41,3.971623020172119,3.974217247962952,0.04175,0.0435
42,3.940860937833786,3.945345717668533,0.0377125,0.0367
43,3.933824722766876,3.9383878231048586,0.0385375,0.03835
44,3.962191677093506,3.968501615524292,0.0397375,0.0393
45,3.9102057337760927,3.9143439650535585,0.0366375,0.03385
46,3.9483835566043854,3.9561461091041563,0.03025,0.0285
47,3.910514943599701,3.914389932155609,0.039,0.0373
48,3.941278100013733,3.9404078304767607,0.0570125,0.05795
49,3.9136825549602507,3.9152952075004577,0.0634875,0.0642
50,3.9512207531929016,3.9505821645259855,0.059475,0.0603
51,3.901647267341614,3.899224841594696,0.061725,0.0625
52,3.911569150686264,3.908362638950348,0.05735,0.0587
53,3.894863702058792,3.895546644926071,0.0619,0.06265
54,3.899190050363541,3.90019833445549,0.0542125,0.0543
55,3.898622590303421,3.897616481781006,0.060025,0.06115
56,3.890414744615555,3.8903818488121034,0.0621875,0.0631
57,3.889835213422775,3.8873777031898498,0.042225,0.0422
58,3.868535990715027,3.8675292074680327,0.0332375,0.03185
59,3.910627244710922,3.9141151189804075,0.0401625,0.03875
