Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,4.128190770149231,4.128701794147491,0.0038875,0.00335
1,4.103215037584305,4.103569024801255,0.0057875,0.00485
2,4.107223880290985,4.108105432987213,0.01405,0.01245
3,4.025626670122147,4.026987755298615,0.0283,0.02845
4,3.9761947739124297,3.9768341422080993,0.025975,0.0261
5,3.965073163509369,3.9648069977760314,0.04365,0.0429
6,3.991934018135071,3.9896931648254395,0.040375,0.0422
7,3.98328381896019,3.9816430687904356,0.0561375,0.05765
8,3.9507931315898897,3.9487224817276,0.0570125,0.058
9,3.9936126816272735,3.992323797941208,0.0426125,0.04415
10,3.9772637128829955,3.976021933555603,0.0448625,0.04655
11,3.9481018376350403,3.9457123935222627,0.046975,0.0484
12,3.9848164427280426,3.9835308134555816,0.035125,0.03595
13,3.971776371002197,3.967399299144745,0.049175,0.05045
14,3.9959878730773926,3.9905056595802306,0.0545,0.05465
15,4.048361210823059,4.042184656858444,0.0563375,0.0574
16,4.043986049890518,4.042020922899246,0.0816125,0.08405
17,4.027932386398316,4.024891757965088,0.0628,0.06185
18,4.038865034580231,4.039892733097076,0.0557375,0.05765
19,4.018272221088409,4.019831502437592,0.0697625,0.0706
20,4.0241285169124605,4.023709869384765,0.0369375,0.03615
21,4.002839149236679,4.000576150417328,0.067625,0.0674
22,4.009659339189529,4.008324933052063,0.047075,0.0507
23,4.0186369311809536,4.016276913881302,0.0669625,0.07035
24,4.012143270969391,4.012620580196381,0.090575,0.0895
25,3.986750581264496,3.9885471642017363,0.0949375,0.0946
26,3.9793898451328276,3.9806722462177277,0.052875,0.05265
27,3.972898734807968,3.973075145483017,0.06365,0.0619
28,3.9684677541255953,3.9677481651306152,0.071525,0.07465
29,3.991244559288025,3.9923215925693514,0.059475,0.06085
30,3.9955173993110655,3.9947617650032043,0.0723,0.07455
31,3.9761522030830383,3.9750813484191894,0.0974875,0.09905
32,3.962715812921524,3.9650955140590667,0.1001875,0.0972
33,3.9605796205997468,3.961092787981033,0.0982375,0.10035
34,3.9506281304359434,3.953392416238785,0.1075,0.10845
35,3.976457117795944,3.979639136791229,0.076225,0.07765
36,3.9691101133823397,3.970824348926544,0.0598,0.0611
37,3.9622809386253355,3.96472629904747,0.092575,0.09295
38,3.9583811271190643,3.9606481075286863,0.0943125,0.0945
39,3.948751960992813,3.9515416502952574,0.102625,0.10225
40,3.9574595987796783,3.9608752727508545,0.074775,0.07635
41,3.9670192575454712,3.9691305994987487,0.0763125,0.0759
42,3.9720705699920655,3.9767146170139314,0.098175,0.09775
43,4.012204362154007,4.017707824707031,0.0545625,0.0561
44,4.00000353217125,4.007522243261337,0.049125,0.04785
45,3.9930551517009736,3.997533309459686,0.0725875,0.073
46,3.9793127226829528,3.9821519017219544,0.0850875,0.08525
47,3.975760647058487,3.979149895906448,0.08935,0.09045
48,3.9406704044342042,3.9434914886951447,0.1027875,0.103
49,3.958582478761673,3.9615153908729552,0.102975,0.10315
50,3.9509442901611327,3.954862040281296,0.09935,0.0999
51,3.9237647104263305,3.929011768102646,0.1161375,0.11815
52,3.9735022377967835,3.978041869401932,0.0982875,0.0995
53,3.9352254462242127,3.9392361462116243,0.1230125,0.1243
54,3.912386428117752,3.914526617527008,0.1443375,0.14335
55,3.9773972821235657,3.979644590616226,0.0829875,0.08375
56,3.9652131676673887,3.9677285611629487,0.077475,0.07965
57,3.955058240890503,3.9595976531505586,0.0867875,0.09045
58,3.9336079382896423,3.9393733143806458,0.0979125,0.0995
59,3.936549047231674,3.941483271121979,0.0901,0.09035
60,3.967295514345169,3.970653885602951,0.067075,0.06925
61,3.963899762630463,3.967950040102005,0.0605125,0.0617
62,3.93425732254982,3.9375716626644133,0.073175,0.0739
63,3.957994225025177,3.960322695970535,0.0578625,0.05795
64,3.909818115234375,3.9140186309814453,0.0754125,0.07435
65,3.9284517788887023,3.9318058609962465,0.0709125,0.07175
66,3.941232169866562,3.943891626596451,0.0525,0.05205
67,3.9365414440631867,3.9371486365795136,0.054575,0.054
68,3.9542838072776796,3.95420880317688,0.0507625,0.05235
69,3.9606572663784028,3.9606241464614866,0.04845,0.0492
70,3.923988389968872,3.924832320213318,0.0564875,0.05895
71,3.948547126054764,3.948373073339462,0.052125,0.05205
72,3.945713396072388,3.946327191591263,0.051825,0.0511
73,3.9433881318569184,3.9453287005424498,0.0567625,0.05605
74,3.934929916858673,3.937822622060776,0.0534125,0.05365
75,3.939781746864319,3.939231890439987,0.0533375,0.0547
76,3.9393982768058775,3.939650309085846,0.0486875,0.0479
77,3.947019633054733,3.9472236394882203,0.0471875,0.0489
78,3.9307574796676636,3.9309654951095583,0.0513875,0.0525
79,3.886630207300186,3.886801987886429,0.0574125,0.05705
80,3.8960652005672456,3.8975207269191743,0.053175,0.05245
81,3.887234264612198,3.8895333886146544,0.0607125,0.0594
82,3.8771354711055754,3.8784215092658996,0.0775,0.0772
83,3.8733902597427368,3.874497300386429,0.1006625,0.09995
84,3.864451311826706,3.866327255964279,0.0878,0.0899
85,3.8896160411834715,3.8908466160297395,0.0815375,0.0828
86,3.8333102214336394,3.8365724682807922,0.1093625,0.1085
87,3.8564894783496855,3.8571168959140776,0.0917625,0.09335
88,3.8538416838645935,3.8535125851631165,0.0927125,0.0951
89,3.8772486448287964,3.878284639120102,0.0765,0.07635
90,3.879571281671524,3.880757212638855,0.0746875,0.0734
91,3.840390337705612,3.8397584736347197,0.0880375,0.0882
92,3.791464637517929,3.7910459518432615,0.1127875,0.11505
93,3.7956362700462343,3.7949087858200072,0.10455,0.1073
94,3.8413522589206694,3.839324194192886,0.0786875,0.0801
95,3.849059628248215,3.8473865032196044,0.076075,0.0761
96,3.8429437255859376,3.840673953294754,0.0728875,0.07425
97,3.854722090959549,3.852064144611359,0.069075,0.06975
98,3.8329817342758177,3.8290160655975343,0.0804,0.07995
99,3.828068814277649,3.8247002840042112,0.085025,0.08585
100,3.832894638776779,3.8305764377117155,0.08975,0.09145
101,3.829173513650894,3.8249038577079775,0.08875,0.09
102,3.820328221321106,3.8164036214351653,0.0966875,0.097
103,3.8135914611816406,3.80988804101944,0.0999875,0.1008
104,3.8474942421913148,3.845962017774582,0.0820875,0.0823
105,3.8561226546764376,3.854139906167984,0.0737,0.07505
106,3.837935812473297,3.835110604763031,0.073125,0.07355
107,3.828609524965286,3.823681426048279,0.0728125,0.07435
108,3.840270789861679,3.837052744626999,0.0716875,0.0718
109,3.8128223073482514,3.808774894475937,0.074225,0.0759
110,3.8544266557693483,3.8522920072078706,0.0623,0.06215
111,3.8050180172920225,3.8006984114646913,0.0813375,0.0837
112,3.8500027537345884,3.8478693425655366,0.065425,0.06685
113,3.8462733042240145,3.8441510677337645,0.0623,0.06305
114,3.873569577932358,3.872681313753128,0.0590125,0.0601
115,3.836923151016235,3.8364622414112093,0.063925,0.06465
116,3.834677503108978,3.8349335968494414,0.0633125,0.06465
117,3.79820086479187,3.799061971902847,0.07025,0.0722
118,3.7994192385673524,3.7984497606754304,0.0773,0.07885
119,3.8293290638923647,3.830176430940628,0.066125,0.06675
120,3.837603702545166,3.837205058336258,0.0645375,0.06605
121,3.7971029591560366,3.7969935655593874,0.0708625,0.072
122,3.860592818260193,3.861521190404892,0.0597125,0.06045
123,3.8159656918048857,3.8172938406467436,0.0688125,0.06955
124,3.8432838535308838,3.844480800628662,0.06105,0.06215
125,3.8320079755783083,3.8334634780883787,0.0636875,0.0646
126,3.7873916625976562,3.788719493150711,0.0822625,0.08395
127,3.817079974412918,3.81822811961174,0.06665,0.06795
128,3.77778444647789,3.780113124847412,0.08055,0.08185
129,3.794748491048813,3.7969572484493255,0.0685875,0.0685
130,3.823775544166565,3.825384259223938,0.060425,0.06115
131,3.832592167854309,3.83348354101181,0.0596875,0.06045
132,3.8268426036834717,3.8281386613845827,0.06005,0.06055
133,3.7881587195396422,3.7899486660957336,0.0743,0.07545
134,3.7969236016273498,3.7973077237606048,0.071625,0.0724
135,3.7810501766204836,3.780661851167679,0.0775125,0.07785
136,3.7933799493312836,3.7939481317996977,0.0679,0.0699
137,3.815645214319229,3.8170053005218505,0.0633,0.06455
138,3.807482738494873,3.809097647666931,0.0611375,0.0622
139,3.8093090832233427,3.811904662847519,0.061625,0.06235
140,3.785327037572861,3.787468045949936,0.0657875,0.0669
141,3.8181155264377593,3.821119624376297,0.0610625,0.06235
142,3.8169276297092436,3.8206054508686065,0.063,0.0642
143,3.7702316761016847,3.7724632382392884,0.0792875,0.08025
144,3.7894066941738127,3.7918480217456816,0.066825,0.0671
145,3.797549357414246,3.799574798345566,0.0745875,0.07635
146,3.81311040520668,3.817243331670761,0.067475,0.06785
147,3.7725150096416473,3.7744578421115875,0.079475,0.0801
148,3.800128011703491,3.8022904217243196,0.06935,0.06895
149,3.8205525946617125,3.8230320870876313,0.0671125,0.06715
150,3.7947062754631045,3.7975378334522247,0.0694625,0.0696
151,3.7991286957263948,3.802887374162674,0.0671375,0.06805
152,3.7847636282444,3.7876677393913267,0.073525,0.07405
153,3.7954020571708678,3.798656779527664,0.0732875,0.0751
154,3.8437264156341553,3.8467975080013277,0.056625,0.05785
155,3.839874963760376,3.842452847957611,0.057,0.058
156,3.853488119840622,3.855209356546402,0.0565125,0.0577
157,3.8444051921367643,3.845847320556641,0.056575,0.05765
158,3.8293419003486635,3.830765950679779,0.0567625,0.05805
159,3.8297701942920686,3.8313131451606752,0.05735,0.0586
160,3.83600182056427,3.838420647382736,0.05765,0.05895
161,3.8453265857696532,3.847422057390213,0.0567375,0.05785
162,3.8406228280067443,3.8425188302993774,0.0577875,0.05925
163,3.849190603494644,3.850423789024353,0.0567625,0.0577
164,3.8270416295528413,3.826967936754227,0.058275,0.05945
165,3.8310425770282746,3.8309499084949494,0.0567625,0.05795
166,3.835782949924469,3.835598963499069,0.0565,0.0576
167,3.827954488992691,3.829484063386917,0.0566375,0.05785
168,3.8193245053291323,3.8203937709331512,0.056425,0.05755
169,3.814538207054138,3.8159734129905702,0.0566875,0.0578
170,3.8093423187732696,3.809362542629242,0.05765,0.05875
171,3.8283578789234163,3.8273621082305906,0.0565625,0.0576
172,3.8180434381961823,3.8169647574424745,0.0566875,0.0577
173,3.817794690132141,3.81697336435318,0.0571,0.0579
174,3.824123203754425,3.8229123950004578,0.0570125,0.0582
175,3.8269436073303225,3.8260008335113525,0.056875,0.058
176,3.8426629662513734,3.8416242599487305,0.0566125,0.05775
177,3.8470859038829803,3.8454528510570527,0.056625,0.05775
178,3.8400561666488646,3.8390101194381714,0.0567875,0.0579
179,3.8461816239356996,3.846264457702637,0.0565875,0.0576
180,3.826081236600876,3.8254347145557404,0.0571,0.05795
181,3.8215191638469697,3.822164994478226,0.0583375,0.0592
182,3.8145803809165955,3.814864081144333,0.0576,0.05805
183,3.8213209140300752,3.82237251996994,0.0577625,0.05815
184,3.834593130350113,3.8343385100364684,0.05645,0.0575
185,3.834162710905075,3.8335225224494933,0.05645,0.0576
186,3.8246318650245668,3.8245658695697786,0.0573625,0.0583
187,3.8110178256034852,3.811010205745697,0.057775,0.0585
188,3.808605972528458,3.8092982470989227,0.0586125,0.0595
189,3.802947212457657,3.804003566503525,0.0580375,0.0591
190,3.8018965911865235,3.8038403391838074,0.0579375,0.0589
191,3.808961498737335,3.810088324546814,0.0558875,0.0558
192,3.810139720439911,3.811435890197754,0.0534875,0.0538
193,3.8021929252147673,3.8027983486652372,0.0534875,0.05355
