Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590768814086,2.5301541972160337,0.0938,0.0945
1,2.5213509678840635,2.5230875957012175,0.097175,0.0968
2,2.5161723637580873,2.5179354512691496,0.0977,0.0975
3,2.5128319346904755,2.514514821767807,0.09855,0.0979
4,2.5078359067440035,2.5095346748828886,0.0992,0.099
5,2.4978416788578035,2.499451950788498,0.102125,0.1026
6,2.4958894526958466,2.4974967861175537,0.103625,0.1045
7,2.4915376126766207,2.4931413960456847,0.106175,0.1063
8,2.4855598294734955,2.4871535980701447,0.10855,0.1091
9,2.480515125989914,2.482083637714386,0.110575,0.1111
10,2.4741965448856353,2.475798878669739,0.113575,0.1147
11,2.4666913604736327,2.4682467222213744,0.116375,0.1183
12,2.461784327030182,2.463429880142212,0.1199,0.1217
13,2.4573863995075227,2.4591252648830415,0.12125,0.1228
14,2.453250607252121,2.4549465596675875,0.12285,0.1242
15,2.4473427975177766,2.449033316373825,0.124475,0.1263
16,2.442064411640167,2.443805431127548,0.1255,0.1271
17,2.437921062707901,2.439635214805603,0.128075,0.1293
18,2.4338408160209655,2.435573580265045,0.1268,0.1284
19,2.4296744120121003,2.4313483667373657,0.127975,0.1292
20,2.425461163520813,2.4271253037452696,0.12915,0.13
21,2.4248371946811678,2.426521890163422,0.130475,0.1305
22,2.422267110347748,2.4239626240730288,0.131975,0.1322
23,2.417608460187912,2.419278951883316,0.13525,0.1354
24,2.411091171503067,2.412698347568512,0.138325,0.1387
25,2.4086962282657622,2.4101478469371798,0.138125,0.138
26,2.402825628519058,2.4042456007003783,0.141475,0.1425
27,2.3974463975429536,2.398891557455063,0.144925,0.1452
28,2.3922934687137603,2.3937190651893614,0.1467,0.1473
29,2.388323791027069,2.3897294902801516,0.147375,0.1473
30,2.3854049134254454,2.386880248785019,0.15075,0.1502
31,2.38244912147522,2.3839270412921905,0.15565,0.1548
32,2.377714439034462,2.3790996742248534,0.161825,0.1609
33,2.3746056711673735,2.375988764166832,0.164925,0.1634
34,2.3719611090421675,2.373387179970741,0.1676,0.1668
35,2.367349511384964,2.3687398117780685,0.173625,0.173
36,2.3663219958543777,2.367726286649704,0.174975,0.1738
37,2.3620621728897095,2.3634351795911788,0.178025,0.1776
38,2.3583831828832627,2.359782490730286,0.17755,0.1772
39,2.354848093986511,2.3562822484970094,0.181475,0.1809
40,2.352567273378372,2.3539502358436586,0.182425,0.1819
41,2.351132290363312,2.35251622736454,0.1827,0.1814
42,2.3478642535209655,2.34922324180603,0.18325,0.183
43,2.3465616196393966,2.3479801166057586,0.18445,0.1832
44,2.343465002179146,2.344833651781082,0.186925,0.1868
45,2.340322497487068,2.3417696708440783,0.1887,0.1891
46,2.338090455532074,2.3394709813594816,0.18825,0.189
47,2.336817568540573,2.338189988732338,0.192075,0.1921
48,2.3352798873186114,2.3366165882349015,0.19,0.1904
49,2.33110930621624,2.332441124916077,0.195525,0.1956
50,2.3292775785923006,2.330485818386078,0.19785,0.1986
51,2.325398179888725,2.326551729440689,0.199425,0.1997
52,2.322989601492882,2.3241624242067336,0.198325,0.1983
53,2.3207854980230334,2.32197783768177,0.197075,0.1963
54,2.317483499646187,2.318693504333496,0.19905,0.1984
55,2.314828787446022,2.3160273218154908,0.2038,0.2029
56,2.312801089286804,2.313974727988243,0.201375,0.1992
57,2.3105685222148895,2.3117692095041273,0.20425,0.2026
58,2.3085869872570037,2.309782329797745,0.2063,0.2045
59,2.30595154106617,2.307055255174637,0.210025,0.2095
60,2.3037868320941923,2.3048584407567976,0.2105,0.2097
61,2.301422201395035,2.3024011665582655,0.212325,0.2115
62,2.297706958055496,2.2985678797960283,0.217675,0.2183
63,2.2969004666805266,2.2977383840084076,0.218075,0.2195
64,2.2961030435562133,2.2969838327169416,0.2191,0.22
65,2.2953227412700654,2.29619246006012,0.21985,0.2212
66,2.2918029218912124,2.2926712745428084,0.220925,0.2221
67,2.2884103417396546,2.289280507564545,0.22345,0.225
68,2.2851580679416656,2.285969460606575,0.22295,0.2239
69,2.281237762570381,2.2820008635520934,0.224775,0.226
70,2.279451072216034,2.280160247683525,0.225125,0.2258
71,2.277609879374504,2.278249848484993,0.2292,0.2303
72,2.2754030692577363,2.2760636866092683,0.226725,0.2271
73,2.2723950904607775,2.2729539704322814,0.229675,0.2297
74,2.269594239592552,2.2701879066228865,0.231625,0.2319
75,2.26691421687603,2.267544339299202,0.230775,0.2312
76,2.264526304602623,2.2651272666454316,0.234275,0.2344
77,2.2628327560424806,2.263496566414833,0.232275,0.2331
78,2.2608239018917082,2.2613452100753784,0.2349,0.235
79,2.2584928911924362,2.25897456407547,0.234275,0.2344
80,2.2577305096387863,2.2581797194480897,0.234475,0.2347
81,2.2545333629846573,2.254894798398018,0.236325,0.2363
82,2.252269614338875,2.2526560860872267,0.237875,0.2379
83,2.2507588416337967,2.251030758023262,0.242225,0.2415
84,2.2493618935346604,2.2496721655130387,0.24335,0.2425
85,2.2479346668720246,2.2482295781373978,0.243875,0.2432
86,2.2459960329532622,2.2462741005420686,0.24575,0.2457
87,2.2442343580722808,2.2445350044965746,0.247775,0.2487
88,2.2421165096759794,2.2423860681056977,0.248675,0.2493
89,2.2410654681921005,2.2413382720947266,0.2501,0.2509
90,2.2392138332128524,2.239445192217827,0.251025,0.2515
91,2.2367030036449433,2.2369009500741956,0.25285,0.253
92,2.2346800631284713,2.2349801248312,0.251475,0.2525
93,2.2332091015577316,2.23347172498703,0.2523,0.2539
94,2.230697324872017,2.2310213273763657,0.251125,0.2529
95,2.230114526748657,2.2304019063711165,0.253825,0.2537
96,2.2275182580947877,2.2278584522008895,0.2565,0.2567
97,2.225789906978607,2.22609310567379,0.254225,0.2545
98,2.223553397655487,2.2238908857107162,0.25525,0.2563
99,2.2221018475294114,2.222479327917099,0.256675,0.2568
