Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590768814086,2.5301541972160337,0.0938,0.0945
1,2.523187998533249,2.5248990797996522,0.0962,0.0957
2,2.51950496673584,2.5212255370616914,0.09635,0.0963
3,2.515529795885086,2.517221883535385,0.09775,0.0972
4,2.5113376355171204,2.5130730509757995,0.098,0.0978
5,2.5039659154415133,2.5056199872493745,0.1005,0.0999
6,2.5010287916660308,2.5026402270793913,0.102125,0.1029
7,2.499597010612488,2.5012300395965577,0.10295,0.1034
8,2.4947504091262815,2.496360445022583,0.1036,0.1046
9,2.492879601716995,2.4944871294498445,0.1051,0.106
10,2.4899882960319517,2.4916189062595366,0.106925,0.1079
11,2.4854296016693116,2.487030873298645,0.109525,0.1095
12,2.482811449766159,2.484511921405792,0.112075,0.1125
13,2.479189155101776,2.480891056060791,0.113,0.1132
14,2.4750058221817017,2.476662629842758,0.113475,0.1146
15,2.4696302783489226,2.4713206446170806,0.11425,0.1156
16,2.464596893787384,2.46629665851593,0.114475,0.1155
17,2.460716987848282,2.4623963809013367,0.11625,0.1175
18,2.4581044375896455,2.459820749759674,0.116775,0.1173
19,2.453828933238983,2.4555101680755613,0.1166,0.1171
20,2.450600053071976,2.4522999691963197,0.117325,0.1179
21,2.4493811142444613,2.45108988404274,0.118525,0.1198
22,2.44724094748497,2.448948519229889,0.119075,0.1202
23,2.443166949748993,2.4448286402225494,0.1205,0.1216
24,2.437197269201279,2.4387792849540713,0.12315,0.1246
25,2.4341090083122254,2.435646809339523,0.12475,0.1257
26,2.4285823738574983,2.4301080095767973,0.1266,0.1282
27,2.423882956504822,2.4254715919494627,0.12945,0.1307
28,2.4202109241485594,2.4217250466346742,0.131025,0.1316
29,2.4179877364635467,2.4195586478710176,0.129775,0.1305
30,2.4158332347869873,2.417363563776016,0.13185,0.132
31,2.4143419790267946,2.4158791184425352,0.1343,0.134
32,2.4114059519767763,2.4129485642910002,0.135325,0.1345
33,2.408051258325577,2.4095773112773897,0.13825,0.1372
34,2.404447629451752,2.4059727931022645,0.1394,0.14
35,2.401092244386673,2.402598979473114,0.144025,0.1443
36,2.399471529722214,2.400973844528198,0.144325,0.1444
37,2.3958794569969175,2.39739461183548,0.145675,0.1451
38,2.3933206260204316,2.394773955345154,0.144525,0.1446
39,2.390863335132599,2.392333010435104,0.145475,0.1451
40,2.38824768781662,2.3896384155750274,0.147375,0.1479
41,2.386335654258728,2.3877495491504668,0.1479,0.149
42,2.383301737308502,2.3847001922130584,0.1491,0.1495
43,2.3819645035266874,2.383376888036728,0.1502,0.1507
44,2.37951455950737,2.3808870828151703,0.14935,0.1505
45,2.376906086206436,2.378303431272507,0.151375,0.1522
46,2.3754550981521607,2.3768723964691163,0.150725,0.1506
47,2.3732188653945925,2.374645183086395,0.151725,0.1519
48,2.371690870523453,2.3730994057655335,0.15115,0.1516
49,2.367986116409302,2.3693824338912965,0.153975,0.1537
50,2.365892828702927,2.367228820323944,0.1562,0.1559
51,2.3628129816055297,2.3642142271995543,0.15995,0.16
52,2.3597622752189635,2.3611893820762635,0.16155,0.162
53,2.3574143695831298,2.3588273513317106,0.1618,0.1632
54,2.354029734134674,2.3554121375083925,0.164825,0.1653
55,2.3528801727294923,2.354232530593872,0.169275,0.1706
56,2.3513235664367675,2.3526760601997374,0.166625,0.168
57,2.347724913358688,2.3491059374809264,0.17125,0.173
58,2.34500469148159,2.3464379256963728,0.175475,0.1757
