Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.440341439247131,2.44076290845871,0.022075,0.023
1,0.7938216611582276,0.8013560652011474,0.77155,0.7688
2,0.7600036644968446,0.7688785615362377,0.773325,0.7703
3,0.7222009375655439,0.7330029681039336,0.77515,0.7715
4,0.7253254591626354,0.7336319143583989,0.777925,0.7755
5,0.6910318154381776,0.7030509489397173,0.7786,0.7765
6,0.6792961900058145,0.6929479660828971,0.78545,0.7828
7,0.6612683858912746,0.6746394280469137,0.79315,0.7889
8,0.6556422221287915,0.6678105007181452,0.798325,0.7942
9,0.6874868600932985,0.6983278678443366,0.7944,0.7904
10,0.6744437975262508,0.6840057222634377,0.796125,0.7935
11,0.6640584595370875,0.6737999246322522,0.797125,0.7948
12,0.6560463929654344,0.666623690976797,0.797275,0.7947
13,0.6635672569688584,0.6742238561253026,0.7964,0.7939
14,0.6380901005739679,0.647046100449756,0.79645,0.7952
15,0.6259262861931347,0.6327496357056657,0.801575,0.8022
16,0.6111693768816804,0.6192417955369456,0.805175,0.8041
17,0.6242798318289522,0.6317409376553531,0.8042,0.8034
18,0.5964399967193044,0.6061007131776739,0.804925,0.8027
19,0.6119456156450891,0.6209414798511792,0.804175,0.8035
20,0.6211764354903846,0.6301502775752735,0.80165,0.7995
21,0.6062094131829721,0.6150260278293103,0.801825,0.8001
22,0.601944012562817,0.6108198980955786,0.799575,0.799
23,0.6204728952516052,0.6279863077555546,0.79845,0.7989
24,0.6018891404673196,0.6105188028819611,0.804075,0.8018
25,0.5779189650795047,0.5861704884303981,0.81035,0.8082
26,0.5813412227151002,0.5916524279499618,0.811775,0.8087
27,0.5973457091612214,0.6087252322824277,0.81165,0.8087
28,0.5577694655819698,0.5717255120952268,0.814775,0.8129
29,0.5580754199135914,0.5716956596689649,0.81555,0.8135
30,0.5652628120849819,0.5798533024972381,0.81395,0.8117
31,0.5551636120507015,0.5689560092985821,0.81595,0.8152
32,0.5403589704920909,0.5563615536461287,0.821,0.8176
33,0.5322756359994674,0.5490780062332488,0.822875,0.8194
34,0.5215612897354095,0.5386949052905902,0.824975,0.8211
35,0.532577915081507,0.5502590098944731,0.82325,0.8213
36,0.5472994774859228,0.5669152644743805,0.8205,0.8207
37,0.510595903513693,0.5292156894809488,0.82775,0.8258
38,0.5129532939884485,0.5321104740227816,0.82695,0.8264
39,0.5492063549654449,0.5660715418158202,0.817875,0.8149
40,0.5443584453828653,0.5620303036283811,0.822425,0.8207
41,0.5357440926596654,0.5543474308867399,0.8238,0.8235
42,0.5224416892961417,0.5418030577199794,0.82345,0.8208
43,0.5250048295834742,0.5472119847545552,0.8237,0.8191
44,0.516662612163393,0.5391487759788515,0.82305,0.8174
45,0.5287082762160026,0.5510826943283428,0.8199,0.8143
46,0.5345823567603657,0.5566853450682402,0.8237,0.82
47,0.5319860576233828,0.5539223255536287,0.827025,0.8245
48,0.5283611583328441,0.5487457754512539,0.824525,0.8233
49,0.5115162660298691,0.5323024346002523,0.82695,0.8258
50,0.5123162397951583,0.5348199071830658,0.82665,0.8203
51,0.5163820359371492,0.536897772110355,0.829225,0.8281
52,0.5128116858813155,0.5346348636093898,0.8274,0.8261
53,0.5142139946875249,0.5357274374248664,0.827475,0.8271
