Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.440341439247131,2.44076290845871,0.022075,0.023
1,1.8412334311008454,1.8426390838623048,0.609025,0.6123
2,1.4379175281524659,1.4395284472405911,0.75855,0.7572
3,1.1798379577696323,1.181954452060163,0.771125,0.7685
4,1.0469698492717,1.049413165077567,0.772125,0.7702
5,0.9703384802024811,0.9732158063165843,0.772225,0.7699
6,0.9109837245475501,0.9141539902926888,0.7736,0.7713
7,0.8793028026924002,0.8826476797723444,0.773925,0.7711
8,0.8590272665041266,0.8625136870311689,0.7742,0.7714
9,0.8421853086986811,0.8457570310597657,0.773525,0.7705
10,0.829093049692965,0.8327173391018732,0.773175,0.7706
11,0.8193125152075663,0.8229968088510577,0.773325,0.7703
12,0.8073585665539577,0.8113202825298322,0.7728,0.7702
13,0.7978867688697301,0.8019175438183811,0.772575,0.77
14,0.7923073939736696,0.7963269781982126,0.773025,0.7704
15,0.7892173882344742,0.7931732487605859,0.773275,0.7705
16,0.7833744248415678,0.7874722739238769,0.7734,0.7705
17,0.7785496301844842,0.7827131826511641,0.7733,0.7705
18,0.7743940597210304,0.7787443115010274,0.773625,0.7705
19,0.7713752240974237,0.775808311884066,0.7736,0.7705
20,0.770199776354334,0.7747186957216013,0.773375,0.7704
21,0.7678518834313104,0.7724512197126296,0.77355,0.7706
22,0.7648467716308233,0.7694892223629699,0.77395,0.7705
23,0.7644876525113977,0.769064954105304,0.77435,0.7713
24,0.7626187324066109,0.7673333661471315,0.7748,0.7715
25,0.7584482859271543,0.7632674882705237,0.774825,0.7715
26,0.7560459357753018,0.7610431807815041,0.774725,0.7714
27,0.7526040305284971,0.7578110014659114,0.775,0.7715
28,0.7501983531216809,0.7556528538135467,0.774975,0.7714
29,0.7491293865149908,0.754607063524004,0.7752,0.7716
30,0.7478306108190361,0.7535323771375357,0.775,0.7713
31,0.745071958600871,0.7507951746594649,0.7751,0.7711
32,0.7427883247095661,0.7486617731557107,0.775,0.7718
33,0.740681729067428,0.7465736722595733,0.775425,0.772
34,0.7376508399428229,0.7436291026736013,0.775625,0.7725
35,0.7362990463005059,0.7424828587454817,0.77605,0.7726
36,0.7351260496357372,0.7415110013120579,0.775725,0.773
37,0.7312107934273526,0.7376435270720897,0.776475,0.7735
38,0.7281288396242249,0.7346204813482453,0.776825,0.774
39,0.7296247964480066,0.7359715525544956,0.776575,0.7739
40,0.7268797968603172,0.7333959705267287,0.777,0.7742
41,0.7249069046145087,0.7315838641355488,0.7773,0.7744
42,0.7218190959932824,0.7286721482819312,0.777575,0.7753
43,0.7190144341243504,0.7261196718856786,0.77805,0.7756
44,0.714745102560452,0.7219267763396056,0.778325,0.7758
45,0.7117409793780766,0.718956757418112,0.7787,0.7762
46,0.7099832395621456,0.717289812273184,0.778825,0.7763
47,0.7083811683735923,0.715796504987164,0.778975,0.7766
48,0.7080028372599193,0.7154500448396186,0.77825,0.7757
49,0.7043950703759442,0.7119369596447743,0.778425,0.7761
50,0.701558363558808,0.7092744436463951,0.77885,0.7762
51,0.7011847521474448,0.7089059751134391,0.778925,0.7763
52,0.700243052896742,0.7080756620835627,0.779,0.7764
53,0.6974053292104893,0.7053225791617489,0.779275,0.7765
54,0.6975229798647975,0.705444218820444,0.77905,0.7763
55,0.696401876365122,0.7043320810521524,0.779225,0.7761
56,0.6963303900304666,0.7043339589779305,0.77935,0.7762
57,0.6953844523343632,0.7035715963519243,0.779775,0.7765
58,0.6945858710862932,0.702857642618874,0.780275,0.7767
59,0.6920887655795039,0.7003921211562547,0.7804,0.7771
60,0.6913454497399069,0.6995266384314773,0.78075,0.7775
61,0.689209985764346,0.6975712102450374,0.78055,0.7773
62,0.6873241253133837,0.6956924486604056,0.781225,0.7773
63,0.6858941293958785,0.6943268873376451,0.781525,0.7775
64,0.6819792895582699,0.6906510241543445,0.782275,0.7789
65,0.6817698751087099,0.6904471141328018,0.7824,0.779
66,0.6814179729086465,0.6900879027824736,0.7823,0.7788
67,0.6811034879267615,0.6898481032794954,0.7818,0.7784
68,0.678331795450192,0.6870732969881552,0.7821,0.7788
69,0.6794314915349733,0.6882275758399858,0.782275,0.7793
70,0.6795399250881494,0.6884830371128555,0.782425,0.779
71,0.6763720904374739,0.6853899472239586,0.782725,0.7795
72,0.6737080711043082,0.6827640625059604,0.78295,0.7803
