Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.301355395317078,2.3001019072532656,0.1236,0.1238
1,2.3917593359947205,2.393105032444,0.0719,0.0724
2,2.4830012917518616,2.4829536938667296,0.0589,0.0578
3,2.5180506896972656,2.5190196323394773,0.04055,0.0383
4,2.522830286026001,2.526420388221741,0.059125,0.0567
5,2.5382956767082216,2.5405477404594423,0.055525,0.0547
6,2.586107838153839,2.5897927141189574,0.0588,0.0547
7,2.5465220952034,2.5523708510398864,0.06065,0.0581
8,2.595728669166565,2.601234378814697,0.062675,0.0625
9,2.551110873222351,2.555192449092865,0.074625,0.0742
10,2.592139141559601,2.5963443875312806,0.073225,0.0718
11,2.601831388473511,2.6076201510429384,0.065425,0.0632
12,2.6789157605171203,2.6835371589660646,0.06285,0.0632
13,2.635516152381897,2.6405652832984923,0.061825,0.0598
14,2.647158689498901,2.650230419635773,0.057925,0.0556
15,2.6672129249572754,2.6740590047836306,0.0575,0.0526
16,2.660049777030945,2.6647709155082704,0.06505,0.0606
17,2.735307717323303,2.7412800693511965,0.06,0.0564
18,2.7743093824386595,2.7776907777786253,0.064225,0.0615
19,2.7579329895973204,2.7606554579734803,0.06225,0.0592
20,2.833880248069763,2.8352944231033326,0.061225,0.0592
21,2.8458177828788758,2.844337341785431,0.06015,0.0581
22,2.8386296010017396,2.837189300060272,0.064875,0.0611
23,2.8150562953948977,2.812714786529541,0.065,0.0611
24,2.8712075424194334,2.867336208820343,0.060325,0.055
25,2.873956048488617,2.8716523241996765,0.067275,0.0643
26,2.8427400851249693,2.839941396713257,0.06915,0.0659
27,2.8974249577522277,2.8923521852493286,0.069925,0.0701
28,2.973174319267273,2.969034695625305,0.06145,0.0602
29,2.977909152507782,2.975443675518036,0.06455,0.0627
30,2.954266483783722,2.954231996536255,0.067125,0.0636
31,2.9315737795829775,2.9319351434707643,0.0739,0.0694
32,2.9940415096282957,2.9918164110183714,0.0628,0.0588
33,3.0389504194259644,3.037704813480377,0.0637,0.0588
34,3.149083755016327,3.1457993745803834,0.059425,0.0534
35,3.196215097904205,3.192298746109009,0.0572,0.0553
36,3.245434124469757,3.2388273549079893,0.056325,0.0546
37,3.181809244155884,3.1773535132408144,0.065025,0.0623
38,3.3090939998626707,3.3071540451049803,0.064625,0.062
