Round,Train Loss,Test Loss,Train Accuracy,Test Accuracy
0,2.5284590780735017,2.5301542186737063,0.0938,0.0945
1,2.96523659825325,2.968130059838295,0.10285,0.1035
2,3.0792120265960694,3.080205174088478,0.103625,0.1045
3,2.896098727583885,2.9001735734939573,0.1145,0.1138
4,2.9786427462100984,2.985937678217888,0.08655,0.0847
5,3.05045539394021,3.0559433924406765,0.126725,0.1271
6,3.0954504480957983,3.104043852239847,0.1141,0.1142
7,3.0198634511232374,3.0230282327532767,0.159575,0.1576
8,3.0682107067108153,3.06525681078434,0.17665,0.1763
9,3.111995951086283,3.11281304910779,0.1482,0.148
10,3.2666013637185096,3.2592792296409607,0.149925,0.148
11,3.5738615964353087,3.557134917527437,0.170425,0.1718
12,3.3969561391323806,3.379240406230092,0.142625,0.1431
13,3.4462595054507257,3.4329341815412047,0.1801,0.1782
14,3.699778269622475,3.6847133697755634,0.190975,0.194
15,3.619143376899883,3.6025480402167886,0.214625,0.2141
16,3.7870463777706025,3.7724807421304285,0.2215,0.2234
17,3.7542175389034673,3.734448854427319,0.215025,0.2181
18,3.6230186505429445,3.6045250051398763,0.235725,0.2382
19,3.7197928776592017,3.7064398727938532,0.1981,0.2021
20,3.6888656537234783,3.6792545542120934,0.1902,0.1948
21,3.8015538468956946,3.792296333834529,0.1888,0.1905
22,3.8727808502316474,3.8613360020518304,0.20565,0.2093
23,3.863918893635273,3.843432207107544,0.212,0.2168
24,4.104621601998806,4.078320786356926,0.17455,0.1774
25,4.464487967789173,4.447783020138741,0.1458,0.1471
26,4.411770307123661,4.396810084283352,0.156375,0.1574
27,4.427669809907675,4.418443592190743,0.16785,0.1686
28,4.5357576350867745,4.531588447093964,0.148,0.1472
29,4.636396251618862,4.631117168515921,0.157925,0.1585
30,4.62438098013401,4.622488112151623,0.151175,0.151
31,4.5567362534999845,4.547438952624798,0.144825,0.1431
32,4.654658332169056,4.65119583696127,0.167475,0.1687
33,4.467933702096343,4.466817207559943,0.159425,0.1598
34,4.454748296439647,4.446771427541972,0.17025,0.1718
35,4.437835967391729,4.438436427116394,0.180625,0.1814
36,4.344864174723625,4.349246497899294,0.17105,0.171
37,4.380055920407176,4.386872877664864,0.16665,0.1671
38,4.300964154452085,4.311468017501756,0.17765,0.1799
39,4.190757494270802,4.1997322904970495,0.172975,0.1755
40,4.15307561185211,4.1700288599485065,0.219625,0.2211
41,4.223047510460019,4.235035089683952,0.20675,0.2063
42,4.280891440925188,4.289246843832079,0.179375,0.1803
43,4.161102892020717,4.17567855238216,0.2056,0.2075
44,4.064890154283494,4.081772276710253,0.220325,0.2209
45,4.065544855799526,4.075789003465324,0.209475,0.2086
46,4.086767665185034,4.101099908007309,0.247325,0.2466
47,4.088582151639275,4.097195426216349,0.215425,0.2166
48,4.097110108672641,4.107118149856105,0.2246,0.2267
49,4.058921789727174,4.065889164875261,0.23065,0.2355
50,4.065761844748631,4.076866190871224,0.228575,0.2331
51,4.198473146557808,4.217250003291992,0.253175,0.2569
52,4.252682686131448,4.269155255788937,0.258325,0.2587
53,4.27298626480624,4.284944935706444,0.26085,0.2624
54,4.210356284193694,4.2223583407560366,0.254325,0.2581
55,4.145281338077038,4.159361303392798,0.2367,0.2364
56,4.175682652965188,4.179419003278017,0.22675,0.2281
57,4.256919713355601,4.2601383388414975,0.248075,0.2487
58,4.365503734350204,4.367105075595901,0.243575,0.2434
59,4.295553189748898,4.299307951526717,0.23375,0.2381
60,4.241264683306217,4.2453704839665445,0.23975,0.2373
61,4.218520820736885,4.2259219406731425,0.260825,0.2627
62,4.229838392408564,4.2365538743883375,0.2514,0.2543
63,4.198846315257251,4.205166062861681,0.252025,0.2544
64,4.209338541124016,4.215111839547753,0.26175,0.2634
65,4.299394747167826,4.303221914917231,0.248725,0.2462
66,4.316824504649267,4.322862754873931,0.270475,0.2698
67,4.150086921229959,4.155047171004116,0.264625,0.2656
68,4.219312415122986,4.2258638794533905,0.267375,0.2663
69,4.156812945697457,4.162535217497497,0.27845,0.2768
70,4.1483722778433005,4.152466533344705,0.289975,0.2875
71,4.308983920221217,4.31458622283535,0.2899,0.2867
72,4.19881069940282,4.207104204150382,0.291275,0.2897
73,4.041909265157301,4.049094211517367,0.304,0.3054
74,3.967496925960295,3.9782145078189206,0.30825,0.308
75,4.154067017897032,4.169343017768115,0.302625,0.3064
76,4.123404471273534,4.148034679861739,0.3035,0.3075
77,4.084888915675692,4.107191400057636,0.31835,0.3209
78,4.0361979594256265,4.062115901701618,0.322425,0.3242
79,4.027668814389035,4.056149765611626,0.3,0.3008
80,3.9335092830192298,3.960523098674603,0.298775,0.2999
81,3.9061736362753434,3.9265092177223413,0.3161,0.3157
82,3.8375966113805773,3.8550193849555217,0.3199,0.3191
83,3.8218951350077988,3.8424947324208913,0.321975,0.3246
84,3.8534150043537374,3.877236171559198,0.3126,0.3132
85,3.9388389677743545,3.961813837675363,0.323975,0.3194
86,3.99662268543203,4.018806714487428,0.322725,0.318
87,3.908236877109589,3.9286785900363568,0.317875,0.3161
88,3.835912488943577,3.8560376319761236,0.328575,0.3246
89,3.857281357743559,3.881981390147412,0.3256,0.322
90,3.787192699195584,3.811731280811364,0.32775,0.3292
91,3.7415063706133513,3.765955900927074,0.305975,0.3053
92,3.8964977113856003,3.92724936873652,0.31335,0.312
93,3.9577535114088094,3.9840403675998095,0.2843,0.2834
94,3.9906668798427565,4.019964664606378,0.2913,0.287
95,3.931748131782806,3.9714517505341793,0.29105,0.2921
96,3.855801856088219,3.889992446153483,0.3141,0.3137
97,3.786693547349714,3.8169436987524388,0.311275,0.3089
98,3.7359429674438434,3.7667210353829432,0.304325,0.3037
99,3.7171087790458115,3.745313909346296,0.320025,0.3189
100,3.8650543354310503,3.8863405571723706,0.2897,0.2882
101,3.917131706818982,3.939063285046695,0.3069,0.3083
102,3.9483012149870635,3.96305021346137,0.3175,0.3203
103,3.946136515875619,3.964114709519147,0.31985,0.3221
104,3.8422658916758157,3.8618200244806533,0.324875,0.3237
105,3.9859145232112496,4.005912165367408,0.34075,0.3408
106,3.9906975027627594,4.005090753868972,0.332425,0.3309
107,3.9847211742649233,4.001609564397323,0.33245,0.3305
108,3.9927273423951104,4.009610589519334,0.3325,0.3327
109,3.9702667837557417,3.9869152960627114,0.332375,0.3297
110,4.1099250771881914,4.1368013488885484,0.3396,0.3365
111,4.072143554036479,4.103684889573892,0.34365,0.3419
112,4.087557194133525,4.121335853147406,0.346525,0.3411
113,4.049901484105803,4.0970512967590045,0.3477,0.3458
114,4.170919873011226,4.219892445655569,0.356825,0.3581
115,4.080199556363278,4.126707194097216,0.344025,0.3435
116,4.152325028918561,4.19479678587956,0.3303,0.3286
117,4.118633501780685,4.15893471803267,0.3218,0.3206
118,4.108208022922986,4.145299147298667,0.33185,0.3307
119,4.033899522461437,4.067523727897827,0.360225,0.362
120,3.937710643284618,3.9731087694512097,0.360325,0.365
121,3.9410554033155174,3.977736609545255,0.3675,0.3698
122,4.106208519246016,4.138506093874297,0.363525,0.3643
123,4.194605276611128,4.230896625380597,0.3457,0.3482
124,4.324351440356877,4.356365873867144,0.33475,0.3363
125,4.362020540674166,4.400984971002508,0.3284,0.3283
126,4.326785700465889,4.367406264530196,0.326425,0.3234
127,4.352571329609127,4.391362651084073,0.337375,0.3357
128,4.375694663462091,4.415735998701985,0.3297,0.3321
129,4.203395779500333,4.242952916874573,0.34105,0.3417
130,4.170920714561378,4.2066126642879125,0.347175,0.3498
131,4.169550270182262,4.197616042424572,0.347225,0.3501
132,4.24110080516628,4.272016863766494,0.361125,0.3603
133,4.33854543982161,4.372268110027771,0.3601,0.3612
134,4.392088140363703,4.4220216901622,0.353575,0.3543
135,4.44735859347179,4.48041448639073,0.34695,0.3483
136,4.5077891481774435,4.541681152520335,0.322875,0.3239
137,4.511929409906047,4.544624654131494,0.3137,0.3152
138,4.440436274291501,4.471954511668735,0.319,0.3241
139,4.4046319340607125,4.436354759574915,0.315325,0.3141
140,4.3891176491234045,4.420199056909742,0.321625,0.3203
141,4.477402141980004,4.506571752290923,0.325,0.3263
142,4.428886317745051,4.457481465705355,0.324225,0.3222
143,4.463552022644298,4.494769321067526,0.3142,0.3142
144,4.416605281149711,4.445826211850159,0.316725,0.3171
145,4.376369059313122,4.402511937402509,0.32125,0.322
146,4.284575695168492,4.317079015052819,0.3238,0.3229
147,4.389865602834302,4.421743231648634,0.3217,0.3203
148,4.48717597186565,4.529408087761344,0.310825,0.3109
149,4.440572239710926,4.476779393576517,0.31125,0.3071
